gestora,title,publisher,published_date,url
AZ Quest Investimentos,"Com IPCA abaixo do esperado em maio, economistas já veem índice de 5% em 2023 - Folha de Pernambuco",Folha de Pernambuco,07/06/2023,https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LmZvbGhhcGUuY29tLmJyL2Vjb25vbWlhL2NvbS1pcGNhLWFiYWl4by1kby1lc3BlcmFkby1lbS1tYWlvLWVjb25vbWlzdGFzLWphLXZlZW0taW5kaWNlLWRlLTUvMjc0MzUxL9IBcmh0dHBzOi8vd3d3LmZvbGhhcGUuY29tLmJyL25vdGljaWEvYW1wLzI3NDM1MS9jb20taXBjYS1hYmFpeG8tZG8tZXNwZXJhZG8tZW0tbWFpby1lY29ub21pc3Rhcy1qYS12ZWVtLWluZGljZS1kZS01Lw?oc=5&hl=en-US&gl=US&ceid=US:en
AZ Quest Investimentos,Viagem ao centro da meta: IPCA de maio desacelera tanto que ... - Seu Dinheiro,Seu Dinheiro,07/06/2023,https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LnNldWRpbmhlaXJvLmNvbS8yMDIzL2Vjb25vbWlhL2lwY2EtaW5mbGFjYW8tbWFpby12aWFnZW0tYW8tY2VudHJvLWRhLW1ldGEtcnNncC_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en
AZ Quest Investimentos,FII Summit: os melhores insights do primeiro dia - Eu Quero Investir,Eu Quero Investir,31/05/2023,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vZXVxdWVyb2ludmVzdGlyLmNvbS9maWktc3VtbWl0L2ZpaS1zdW1taXQtb3MtbWVsaG9yZXMtaW5zaWdodHMtZG8tcHJpbWVpcm8tZGlh0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
AZ Quest Investimentos,"Luiza Trajano, do Magazine Luiza (MGLU3), desabafa e Vale (VALE3) tem queda bilionária em seus dividendos; Veja as mais lidas da semana - Terra",Terra,27/05/2023,https://news.google.com/rss/articles/CBMi4AFodHRwczovL3d3dy50ZXJyYS5jb20uYnIvZWNvbm9taWEvZGluaGVpcm8tZW0tZGlhL2x1aXphLXRyYWphbm8tZG8tbWFnYXppbmUtbHVpemEtbWdsdTMtZGVzYWJhZmEtZS12YWxlLXZhbGUzLXRlbS1xdWVkYS1iaWxpb25hcmlhLWVtLXNldXMtZGl2aWRlbmRvcy12ZWphLWFzLW1haXMtbGlkYXMtZGEtc2VtYW5hLDY4YjgyMDlhM2MyMTgyMzExMjUzYmM0NDQ0M2VmOTQ5ZXZkaTk2ZDkuaHRtbNIB5AFodHRwczovL3d3dy50ZXJyYS5jb20uYnIvYW1wL2Vjb25vbWlhL2RpbmhlaXJvLWVtLWRpYS9sdWl6YS10cmFqYW5vLWRvLW1hZ2F6aW5lLWx1aXphLW1nbHUzLWRlc2FiYWZhLWUtdmFsZS12YWxlMy10ZW0tcXVlZGEtYmlsaW9uYXJpYS1lbS1zZXVzLWRpdmlkZW5kb3MtdmVqYS1hcy1tYWlzLWxpZGFzLWRhLXNlbWFuYSw2OGI4MjA5YTNjMjE4MjMxMTI1M2JjNDQ0NDNlZjk0OWV2ZGk5NmQ5Lmh0bWw?oc=5&hl=en-US&gl=US&ceid=US:en
AZ Quest Investimentos,Fiagro lucra com vendas de ativos e distribui dividendos - Agrolink,Agrolink,26/05/2023,https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3LmFncm9saW5rLmNvbS5ici9ub3RpY2lhcy9maWFncm8tbHVjcmEtY29tLXZlbmRhcy1kZS1hdGl2b3MtZS1kaXN0cmlidWktZGl2aWRlbmRvc180Nzk3NzEuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en
AZ Quest Investimentos,"CDB hoje: taxas sobem para até 120% do CDI, mas analistas projetam reviravolta em breve - InfoMoney",InfoMoney,25/05/2023,https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvb25kZS1pbnZlc3Rpci9jZGItaG9qZS10YXhhcy1zb2JlbS1wYXJhLTEyMC1kby1jZGkv0gFUaHR0cHM6Ly93d3cuaW5mb21vbmV5LmNvbS5ici9vbmRlLWludmVzdGlyL2NkYi1ob2plLXRheGFzLXNvYmVtLXBhcmEtMTIwLWRvLWNkaS9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
AZ Quest Investimentos,O que são os Fundos de Criptomoedas? - BeInCrypto Brazil,BeInCrypto Brazil,23/05/2023,https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vYnIuYmVpbmNyeXB0by5jb20vYXByZW5kZXIvby1xdWUtZS1mdW5kby1kZS1jcmlwdG9tb2VkYXMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
AZ Quest Investimentos,"Atualização fundos de crédito Brasil: carregos em abril, RJ Light e ... - Expert XP",Expert XP,19/05/2023,https://news.google.com/rss/articles/CBMijgFodHRwczovL2NvbnRldWRvcy54cGkuY29tLmJyL2Z1bmRvcy1kZS1pbnZlc3RpbWVudG8vcmVsYXRvcmlvcy9hdHVhbGl6YWNhby1mdW5kb3MtZGUtY3JlZGl0by1icmFzaWwtY2FycmVnb3MtZW0tYWJyaWwtcmotbGlnaHQtZS1wZXJzcGVjdGl2YXMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
AZ Quest Investimentos,Idalicio Silva confirma presença no FII Summit - Eu Quero Investir,Eu Quero Investir,19/05/2023,https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vZXVxdWVyb2ludmVzdGlyLmNvbS9maWktc3VtbWl0L2lkYWxpY2lvLXNpbHZhLWZpaS1zdW1taXTSAQA?oc=5&hl=en-US&gl=US&ceid=US:en
AZ Quest Investimentos,Light (LIGT3): Justiça do Rio não analisou recurso de credores contra recuperação judicial - InfoMoney,InfoMoney,18/05/2023,https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvbWVyY2Fkb3MvbGlnaHQtbGlndDMtanVzdGljYS1kby1yaW8tbmVnYS1yZWN1cnNvLWRlLWNyZWRvcmVzLWNvbnRyYS1yZWN1cGVyYWNhby1qdWRpY2lhbC_SAXpodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL21lcmNhZG9zL2xpZ2h0LWxpZ3QzLWp1c3RpY2EtZG8tcmlvLW5lZ2EtcmVjdXJzby1kZS1jcmVkb3Jlcy1jb250cmEtcmVjdXBlcmFjYW8tanVkaWNpYWwvYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en
AZ Quest Investimentos,Justiça toma decisão sobre pedidos de credores da Light (LIGT3) – Últimas notícias – Estadão E-Investidor – As principais notícias do mercado financeiro - E-Investidor,E-Investidor,18/05/2023,https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vZWludmVzdGlkb3IuZXN0YWRhby5jb20uYnIvdWx0aW1hcy9saWdodC1sZ3QzLWp1c3RpY2EtY3JlZG9yZXMv0gFKaHR0cHM6Ly9laW52ZXN0aWRvci5lc3RhZGFvLmNvbS5ici91bHRpbWFzL2xpZ2h0LWxndDMtanVzdGljYS1jcmVkb3Jlcy9hbXA?oc=5&hl=en-US&gl=US&ceid=US:en
AZ Quest Investimentos,"BRF (BRFS3) confirma negociações para venda de precatórios e ativos; Inspirali, da Ânima (ANIM3), pede registro de companhia aberta e mais - InfoMoney",InfoMoney,18/05/2023,https://news.google.com/rss/articles/CBMiqgFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL21lcmNhZG9zL2JyZi1icmZzMy1jb25maXJtYS1uZWdvY2lhY29lcy1wYXJhLXZlbmRhLWRlLXByZWNhdG9yaW9zLWUtYXRpdm9zLWluc3BpcmFsaS1kYS1hbmltYS1hbmltMy1wZWRlLXJlZ2lzdHJvLWRlLWNvbXBhbmhpYS1hYmVydGEtZS1tYWlzL9IBrgFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL21lcmNhZG9zL2JyZi1icmZzMy1jb25maXJtYS1uZWdvY2lhY29lcy1wYXJhLXZlbmRhLWRlLXByZWNhdG9yaW9zLWUtYXRpdm9zLWluc3BpcmFsaS1kYS1hbmltYS1hbmltMy1wZWRlLXJlZ2lzdHJvLWRlLWNvbXBhbmhpYS1hYmVydGEtZS1tYWlzL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en
