gestora,title,publisher,published_date,url
Ace Capital,Leia edição da newsletter FolhaMercado desta terça (30) - 30/05 ... - UOL,UOL,30/05/2023,https://news.google.com/rss/articles/CBMimgFodHRwczovL3d3dzEuZm9saGEudW9sLmNvbS5ici9tZXJjYWRvLzIwMjMvMDUvZ292ZXJuby1zdXNwZW5kZS1wYWNvdGVzLWZsZXhpdmVpcy1kby1odXJiLW52aWRpYS1hcHJlc2VudGEtbm92aWRhZGVzLWVtLWlhLWUtby1xdWUtaW1wb3J0YS1uby1tZXJjYWRvLnNodG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
Ace Capital,Aceleradoras de startups ficam mais valorizadas após crise no setor - UOL,UOL,29/05/2023,https://news.google.com/rss/articles/CBMidGh0dHBzOi8vd3d3MS5mb2xoYS51b2wuY29tLmJyL21wbWUvMjAyMy8wNS9hY2VsZXJhZG9yYXMtZGUtc3RhcnR1cHMtZmljYW0tbWFpcy12YWxvcml6YWRhcy1hcG9zLWNyaXNlLW5vLXNldG9yLnNodG1s0gF4aHR0cHM6Ly93d3cxLmZvbGhhLnVvbC5jb20uYnIvYW1wL21wbWUvMjAyMy8wNS9hY2VsZXJhZG9yYXMtZGUtc3RhcnR1cHMtZmljYW0tbWFpcy12YWxvcml6YWRhcy1hcG9zLWNyaXNlLW5vLXNldG9yLnNodG1s?oc=5&hl=en-US&gl=US&ceid=US:en
Ace Capital,"Dólar retorna aos R$ 5, em dia de anúncios sobre carros e inflação - UOL Economia",UOL Economia,25/05/2023,https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vZWNvbm9taWEudW9sLmNvbS5ici9jb3RhY29lcy9ub3RpY2lhcy9yZWRhY2FvLzIwMjMvMDUvMjUvZmVjaGFtZW50by1kb2xhci1ib2xzYS0yNS1tYWlvLmh0bdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en
Ace Capital,Ibovespa fecha em alta e caminha para contrariar ditado sobre desempenho fraco em maio - Yahoo Finanças,Yahoo Finanças,25/05/2023,https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vYnIuZmluYW5jYXMueWFob28uY29tL25vdGljaWFzL2lib3Zlc3BhLWZlY2hhLWVtLWFsdGEtZS0yMDA5NDk2MzQuaHRtbNIBVmh0dHBzOi8vYnIuZmluYW5jYXMueWFob28uY29tL2FtcGh0bWwvbm90aWNpYXMvaWJvdmVzcGEtZmVjaGEtZW0tYWx0YS1lLTIwMDk0OTYzNC5odG1s?oc=5&hl=en-US&gl=US&ceid=US:en
Ace Capital,Qual é o novo perfil das startups brasileiras? - StartSe,StartSe,15/05/2023,https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vd3d3LnN0YXJ0c2UuY29tL2FydGlnb3MvcGVyZmlsLXN0YXJ0dXBzLWJyYXNpbGVpcmFzL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en
Ace Capital,"Oxygea, da Braskem, quer investir US$ 150 mi em startups - Startups.com.br",Startups.com.br,15/05/2023,https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vc3RhcnR1cHMuY29tLmJyL2FjZS1zdW1taXQvb3h5Z2VhLWRhLWJyYXNrZW0tcXVlci1pbnZlc3Rpci11cy0xNTAtbWktZW0tc3RhcnR1cHMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
Ace Capital,"Bruno Stefani deixa a AB InBev e sai em ""carreira solo"" - Terra",Terra,15/05/2023,https://news.google.com/rss/articles/CBMioQFodHRwczovL3d3dy50ZXJyYS5jb20uYnIvZWNvbm9taWEvZGluaGVpcm8tZW0tZGlhL21ldS1uZWdvY2lvL2JydW5vLXN0ZWZhbmktZGVpeGEtYS1hYi1pbmJldi1lLXNhaS1lbS1jYXJyZWlyYS1zb2xvLDI4NTk1MDI3ZjZjNmZjZmE3Yzc1YzVjMDkyOGVhNjY1c2E2ZmZ1cTIuaHRtbNIBpQFodHRwczovL3d3dy50ZXJyYS5jb20uYnIvYW1wL2Vjb25vbWlhL2RpbmhlaXJvLWVtLWRpYS9tZXUtbmVnb2Npby9icnVuby1zdGVmYW5pLWRlaXhhLWEtYWItaW5iZXYtZS1zYWktZW0tY2FycmVpcmEtc29sbywyODU5NTAyN2Y2YzZmY2ZhN2M3NWM1YzA5MjhlYTY2NXNhNmZmdXEyLmh0bWw?oc=5&hl=en-US&gl=US&ceid=US:en
Ace Capital,Exclusivo: ACE e AWS se unem para capacitar 20 mil profissionais de startups - Terra,Terra,13/05/2023,https://news.google.com/rss/articles/CBMitwFodHRwczovL3d3dy50ZXJyYS5jb20uYnIvZWNvbm9taWEvZGluaGVpcm8tZW0tZGlhL21ldS1uZWdvY2lvL2V4Y2x1c2l2by1hY2UtZS1hd3Mtc2UtdW5lbS1wYXJhLWNhcGFjaXRhci0yMC1taWwtcHJvZmlzc2lvbmFpcy1kZS1zdGFydHVwcywwZmFmYjg1NjlmODhmZTBkMDBlMjMzMDEzOGRjYjU4NGVqbzZsZmlvLmh0bWzSAbsBaHR0cHM6Ly93d3cudGVycmEuY29tLmJyL2FtcC9lY29ub21pYS9kaW5oZWlyby1lbS1kaWEvbWV1LW5lZ29jaW8vZXhjbHVzaXZvLWFjZS1lLWF3cy1zZS11bmVtLXBhcmEtY2FwYWNpdGFyLTIwLW1pbC1wcm9maXNzaW9uYWlzLWRlLXN0YXJ0dXBzLDBmYWZiODU2OWY4OGZlMGQwMGUyMzMwMTM4ZGNiNTg0ZWpvNmxmaW8uaHRtbA?oc=5&hl=en-US&gl=US&ceid=US:en
Ace Capital,"ACE lança a Outlier, sua gestora focada em CVC - Startups.com.br",Startups.com.br,12/05/2023,https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vc3RhcnR1cHMuY29tLmJyL2FjZS1zdW1taXQvYWNlLWxhbmNhLW9maWNpYWxtZW50ZS1zdWEtZ2VzdG9yYS1mb2NhZGEtZW0tY3ZjL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en
Ace Capital,"Produção de abril de 3R Petroleum (RRRP3): enfim, boas notícias - Empiricus",Empiricus,09/05/2023,https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmVtcGlyaWN1cy5jb20uYnIvYXJ0aWdvcy9pbnZlc3RpbWVudG9zL3Byb2R1Y2FvLWRlLWFicmlsLWRlLTNyLXBldHJvbGV1bS1ycnJwMy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en
