gestora,title,publisher,published_date,url
Atmos Capital,Felipe Miranda: Lou Reed e as small caps — take a walk on the wild ... - Seu Dinheiro,Seu Dinheiro,22/05/2023,https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vd3d3LnNldWRpbmhlaXJvLmNvbS8yMDIzL2NvbHVuaXN0YXMvbG91LXJlZWQtc21hbGwtY2Fwcy12dmthL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en
Atmos Capital,"Zamp: Atmos reduz fatia na companhia para 3,54% das ações ON - br.ADVFN.com",br.ADVFN.com,17/05/2023,https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vYnIuYWR2Zm4uY29tL2pvcm5hbC8yMDIzLzA1L3phbXAtYXRtb3MtcmVkdXotZmF0aWEtbmEtY29tcGFuaGlhLXBhcmEtMy01NC1kYXMtYWNvZXMtb27SAWRodHRwczovL2JyLmFkdmZuLmNvbS9qb3JuYWwvMjAyMy8wNS96YW1wLWF0bW9zLXJlZHV6LWZhdGlhLW5hLWNvbXBhbmhpYS1wYXJhLTMtNTQtZGFzLWFjb2VzLW9uP2FtcD0x?oc=5&hl=en-US&gl=US&ceid=US:en
Atmos Capital,"C&A (CEAB3) emite R$ 200 mi em notas comerciais, Log Commercial (LOGG3) vende ativos e Light (LIGT3) tem rating rebaixado - InfoMoney",InfoMoney,17/05/2023,https://news.google.com/rss/articles/CBMilwFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL21lcmNhZG9zL2NhLWNlYWIzLWVtaXRlLXItMjAwLW1pLWVtLW5vdGFzLWNvbWVyY2lhaXMtbG9nLWNvbW1lcmNpYWwtbG9nZzMtdmVuZGUtYXRpdm9zLWUtbGlnaHQtbGlndDMtdGVtLXJhdGluZy1yZWJhaXhhZG8v0gGbAWh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvbWVyY2Fkb3MvY2EtY2VhYjMtZW1pdGUtci0yMDAtbWktZW0tbm90YXMtY29tZXJjaWFpcy1sb2ctY29tbWVyY2lhbC1sb2dnMy12ZW5kZS1hdGl2b3MtZS1saWdodC1saWd0My10ZW0tcmF0aW5nLXJlYmFpeGFkby9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
Atmos Capital,Ações: Ibovespa engata alta superior a 1% nesta quarta Por ... - Investing.com Brasil,Investing.com Brasil,17/05/2023,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vYnIuaW52ZXN0aW5nLmNvbS9uZXdzL3N0b2NrLW1hcmtldC1uZXdzL2Fjb2VzLWlib3Zlc3BhLWVuZ2F0YS1hbHRhLXN1cGVyaW9yLWEtMS1uZXN0YS1xdWFydGEtMTExNTExM9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en
Atmos Capital,"Mercados nesta quarta, minério, petróleo e notícias de empresas da Bolsa - Finance News",Finance News,17/05/2023,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vZmluYW5jZW5ld3MuY29tLmJyLzIwMjMvMDUvbWVyY2Fkb3MtbmVzdGEtcXVhcnRhLW1pbmVyaW8tcGV0cm9sZW8tZS1ub3RpY2lhcy1kZS1lbXByZXNhcy1kYS1ib2xzYS0zL9IBcGh0dHBzOi8vZmluYW5jZW5ld3MuY29tLmJyLzIwMjMvMDUvbWVyY2Fkb3MtbmVzdGEtcXVhcnRhLW1pbmVyaW8tcGV0cm9sZW8tZS1ub3RpY2lhcy1kZS1lbXByZXNhcy1kYS1ib2xzYS0zL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en
Atmos Capital,"Atualização das 13h30: Localiza, IRB e outros destaques - Finance News",Finance News,17/05/2023,https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vZmluYW5jZW5ld3MuY29tLmJyLzIwMjMvMDUvYXR1YWxpemFjYW8tZGFzLTEzaDMwLWxvY2FsaXphLWlyYi1lLW91dHJvcy1kZXN0YXF1ZXMv0gFdaHR0cHM6Ly9maW5hbmNlbmV3cy5jb20uYnIvMjAyMy8wNS9hdHVhbGl6YWNhby1kYXMtMTNoMzAtbG9jYWxpemEtaXJiLWUtb3V0cm9zLWRlc3RhcXVlcy9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
Atmos Capital,"Destaques corporativos: Braskem (BRKM5), BRF (BRFS3), BTG (BPAC11), Light (LIGT3), Petrobras (PETR3)(PETR4) e ... - spacemoney.com.br",spacemoney.com.br,17/05/2023,https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LnNwYWNlbW9uZXkuY29tLmJyL2dlcmFsL2Rlc3RhcXVlcy1jb3Jwb3JhdGl2b3MtZG8tZGlhLTE3MDUyMDIzLWJyZnMzLWJwYWMxMS1saWd0My1wZXRyNC12YWxlMy8xOTMxMTEv0gF3aHR0cHM6Ly93d3cuc3BhY2Vtb25leS5jb20uYnIvbm90aWNpYS9hbXAvMTkzMTExL2Rlc3RhcXVlcy1jb3Jwb3JhdGl2b3MtZG8tZGlhLTE3MDUyMDIzLWJyZnMzLWJwYWMxMS1saWd0My1wZXRyNC12YWxlMy8?oc=5&hl=en-US&gl=US&ceid=US:en
Atmos Capital,"Ibovespa futuro, dólar e notícias corporativas - Finance News",Finance News,17/05/2023,https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vZmluYW5jZW5ld3MuY29tLmJyLzIwMjMvMDUvaWJvdmVzcGEtZnV0dXJvLWRvbGFyLWUtbm90aWNpYXMtY29ycG9yYXRpdmFzLTQxL9IBWGh0dHBzOi8vZmluYW5jZW5ld3MuY29tLmJyLzIwMjMvMDUvaWJvdmVzcGEtZnV0dXJvLWRvbGFyLWUtbm90aWNpYXMtY29ycG9yYXRpdmFzLTQxL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en
Atmos Capital,"Altas e baixas do Ibovespa: Azul (AZUL4) dispara 14%, Lojas Renner (LREN3) e Gol (GOLL4) sobem 9% - spacemoney.com.br",spacemoney.com.br,17/05/2023,https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LnNwYWNlbW9uZXkuY29tLmJyL2dlcmFsL2FsdGFzLWUtYmFpeGFzLWRvLWlib3Zlc3BhLTE3MDUyMDIzLWF6dWwtYXp1bDQtZ29sLWdvbGw0LWJyZi1icmZzMy8xOTMxMzkv0gF0aHR0cHM6Ly93d3cuc3BhY2Vtb25leS5jb20uYnIvbm90aWNpYS9hbXAvMTkzMTM5L2FsdGFzLWUtYmFpeGFzLWRvLWlib3Zlc3BhLTE3MDUyMDIzLWF6dWwtYXp1bDQtZ29sLWdvbGw0LWJyZi1icmZzMy8?oc=5&hl=en-US&gl=US&ceid=US:en
Atmos Capital,"Rápidas: Vale, CSN Mineração, CSN, Copel, Raízen, Petrobras, Eternit, Log, Zamp - Finance News",Finance News,17/05/2023,https://news.google.com/rss/articles/CBMiamh0dHBzOi8vZmluYW5jZW5ld3MuY29tLmJyLzIwMjMvMDUvcmFwaWRhcy12YWxlLWNzbi1taW5lcmFjYW8tY3NuLWNvcGVsLXJhaXplbi1wZXRyb2JyYXMtZXRlcm5pdC1sb2ctemFtcC_SAW5odHRwczovL2ZpbmFuY2VuZXdzLmNvbS5ici8yMDIzLzA1L3JhcGlkYXMtdmFsZS1jc24tbWluZXJhY2FvLWNzbi1jb3BlbC1yYWl6ZW4tcGV0cm9icmFzLWV0ZXJuaXQtbG9nLXphbXAvYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en
