gestora,title,publisher,published_date,url
BTG Pactual Asset Management,"GGRC11, PATL11: 9 fundos imobiliários vão distribuir proventos nesta sexta-feira; confira - Suno Notícias",Suno Notícias,09/06/2023,https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vd3d3LnN1bm8uY29tLmJyL25vdGljaWFzL2FnZW5kYS1kaXZpZGVuZG9zLWdncmMxMS1tYWlzLTktZmlpcy_SAXxodHRwczovL3d3dy5zdW5vLmNvbS5ici9ub3RpY2lhcy9hZ2VuZGEtZGl2aWRlbmRvcy1nZ3JjMTEtbWFpcy05LWZpaXMvYW1wLz91dG1fc291cmNlPXR3aXR0ZXIubm90aWNpYXMmdXRtX21lZGl1bT10d2VldC5hdXRv?oc=5&hl=en-US&gl=US&ceid=US:en
BTG Pactual Asset Management,Invista Lá Fora: João Scandiuzzi é convidado - Eu Quero Investir,Eu Quero Investir,08/06/2023,https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vZXVxdWVyb2ludmVzdGlyLmNvbS9pbnZlc3RpbWVudG8tbm8tZXh0ZXJpb3Ivam9hby1zY2FuZGl1enppLWJ0Zy1wYWN0dWFs0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
BTG Pactual Asset Management,"RELG11, PQAG11 e MAXR11: Confira novidades em FIIs; IFIX sobe ... - Investing.com Brasil",Investing.com Brasil,07/06/2023,https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vYnIuaW52ZXN0aW5nLmNvbS9uZXdzL21hcmtldHMvcmVsZzExLXBxYWcxMS1lLW1heHIxMS1jb25maXJhLW5vdmlkYWRlcy1lbS1maWlzLWlmaXgtc29iZS0xMTIwNjMz0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
BTG Pactual Asset Management,"Ibovespa futuro, dólar e notícias corporativas - Finance News",Finance News,06/06/2023,https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vZmluYW5jZW5ld3MuY29tLmJyLzIwMjMvMDYvaWJvdmVzcGEtZnV0dXJvLWRvbGFyLWUtbm90aWNpYXMtY29ycG9yYXRpdmFzLTQ3L9IBWGh0dHBzOi8vZmluYW5jZW5ld3MuY29tLmJyLzIwMjMvMDYvaWJvdmVzcGEtZnV0dXJvLWRvbGFyLWUtbm90aWNpYXMtY29ycG9yYXRpdmFzLTQ3L2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en
BTG Pactual Asset Management,"Mercados nesta terça, minério, petróleo, notícia da AES Brasil, Dexco, Enauta e outros destaques - Finance News",Finance News,06/06/2023,https://news.google.com/rss/articles/CBMif2h0dHBzOi8vZmluYW5jZW5ld3MuY29tLmJyLzIwMjMvMDYvbWVyY2Fkb3MtbmVzdGEtdGVyY2EtbWluZXJpby1wZXRyb2xlby1ub3RpY2lhLWRhLWFlcy1icmFzaWwtZGV4Y28tZW5hdXRhLWUtb3V0cm9zLWRlc3RhcXVlcy_SAYMBaHR0cHM6Ly9maW5hbmNlbmV3cy5jb20uYnIvMjAyMy8wNi9tZXJjYWRvcy1uZXN0YS10ZXJjYS1taW5lcmlvLXBldHJvbGVvLW5vdGljaWEtZGEtYWVzLWJyYXNpbC1kZXhjby1lbmF1dGEtZS1vdXRyb3MtZGVzdGFxdWVzL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en
BTG Pactual Asset Management,"Produção da Enauta (ENAT3), controlada da Totvs (TOTS3) compra Exact Sales, AES (AEB3) e 3R (RRRP3) têm mudanças acionárias - InfoMoney",InfoMoney,06/06/2023,https://news.google.com/rss/articles/CBMimAFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL21lcmNhZG9zL3Byb2R1Y2FvLWRhLWVuYXV0YS1lbmF0My1jb250cm9sYWRhLWRhLXRvdHZzLXRvdHMzLWNvbXByYS1leGFjdC1zYWxlcy1hZXMtYWViMy1lLTNyLXJycnAzLXRlbS1tdWRhbmNhcy1hY2lvbmFyaWFzL9IBnAFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL21lcmNhZG9zL3Byb2R1Y2FvLWRhLWVuYXV0YS1lbmF0My1jb250cm9sYWRhLWRhLXRvdHZzLXRvdHMzLWNvbXByYS1leGFjdC1zYWxlcy1hZXMtYWViMy1lLTNyLXJycnAzLXRlbS1tdWRhbmNhcy1hY2lvbmFyaWFzL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en
BTG Pactual Asset Management,"Notícia da AES Brasil, Dexco, Enauta, Totvs, 3R, Ser Educacional - Finance News",Finance News,06/06/2023,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vZmluYW5jZW5ld3MuY29tLmJyLzIwMjMvMDYvbm90aWNpYS1kYS1hZXMtYnJhc2lsLWRleGNvLWVuYXV0YS10b3R2cy0zci1zZXItZWR1Y2FjaW9uYWwv0gFjaHR0cHM6Ly9maW5hbmNlbmV3cy5jb20uYnIvMjAyMy8wNi9ub3RpY2lhLWRhLWFlcy1icmFzaWwtZGV4Y28tZW5hdXRhLXRvdHZzLTNyLXNlci1lZHVjYWNpb25hbC9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
BTG Pactual Asset Management,"Aportes em startups crescem em maio, mas ainda estão distantes do padrão anterior - InfoMoney",InfoMoney,05/06/2023,https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvbmVnb2Npb3MvYXBvcnRlcy1lbS1zdGFydHVwcy1jcmVzY2VtLWVtLW1haW8tbWFzLWFpbmRhLWVzdGFvLWRpc3RhbnRlcy1kby1wYWRyYW8tYW50ZXJpb3Iv0gF7aHR0cHM6Ly93d3cuaW5mb21vbmV5LmNvbS5ici9uZWdvY2lvcy9hcG9ydGVzLWVtLXN0YXJ0dXBzLWNyZXNjZW0tZW0tbWFpby1tYXMtYWluZGEtZXN0YW8tZGlzdGFudGVzLWRvLXBhZHJhby1hbnRlcmlvci9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
BTG Pactual Asset Management,"Ibovespa fecha em queda com nova correção, mas segue para mês positivo - Terra",Terra,30/05/2023,https://news.google.com/rss/articles/CBMipgFodHRwczovL3d3dy50ZXJyYS5jb20uYnIvZWNvbm9taWEvZGluaGVpcm8tZW0tYWNhby9pYm92ZXNwYS1mZWNoYS1lbS1xdWVkYS1jb20tbm92YS1jb3JyZWNhby1tYXMtc2VndWUtcGFyYS1tZXMtcG9zaXRpdm8sNDAxOGQ4N2FkMTIzYTM2MjVmMDdlN2IxZjQ0NDIxMWVnMTZzdzc4aC5odG1s0gGqAWh0dHBzOi8vd3d3LnRlcnJhLmNvbS5ici9hbXAvZWNvbm9taWEvZGluaGVpcm8tZW0tYWNhby9pYm92ZXNwYS1mZWNoYS1lbS1xdWVkYS1jb20tbm92YS1jb3JyZWNhby1tYXMtc2VndWUtcGFyYS1tZXMtcG9zaXRpdm8sNDAxOGQ4N2FkMTIzYTM2MjVmMDdlN2IxZjQ0NDIxMWVnMTZzdzc4aC5odG1s?oc=5&hl=en-US&gl=US&ceid=US:en
BTG Pactual Asset Management,Notícias Diárias do Setor Financeiro | 29/05 - 02/06 - XP Investimentos - Expert XP,Expert XP,29/05/2023,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vY29udGV1ZG9zLnhwaS5jb20uYnIvYWNvZXMvcmVsYXRvcmlvcy9ub3RpY2lhcy1kaWFyaWFzLWRvLXNldG9yLWZpbmFuY2Vpcm8tMjktMDUtMDItMDYv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
