gestora,title,publisher,published_date,url
Bradesco Asset Management,Ranking AuM e Captação Líquida – Maio 2023 - Portal Acionista,Portal Acionista,09/06/2023,https://news.google.com/rss/articles/CBMiQmh0dHBzOi8vYWNpb25pc3RhLmNvbS5ici9yYW5raW5nLWF1bS1lLWNhcHRhY2FvLWxpcXVpZGEtbWFpby0yMDIzL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en
Bradesco Asset Management,Petrobras (PETR4) e VALE3 (VALE3) sustentam ganhos da Bolsa antes de feriado; IRB (IRBR3) lidera quedas - InfoMoney,InfoMoney,07/06/2023,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvbWVyY2Fkb3MvaWJvdmVzcGEtaG9qZS1ib2xzYS1kZS12YWxvcmVzLWFvLXZpdm8tMDcwNjIwMjMv0gFaaHR0cHM6Ly93d3cuaW5mb21vbmV5LmNvbS5ici9tZXJjYWRvcy9pYm92ZXNwYS1ob2plLWJvbHNhLWRlLXZhbG9yZXMtYW8tdml2by0wNzA2MjAyMy9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
Bradesco Asset Management,"Petrobras (PETR4) puxa ganhos da Bolsa após OPEP, junto com setor financeiro; Vale (VALE3) recua - InfoMoney",InfoMoney,05/06/2023,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvbWVyY2Fkb3MvaWJvdmVzcGEtaG9qZS1ib2xzYS1kZS12YWxvcmVzLWFvLXZpdm8tMDUwNjIwMjMv0gFaaHR0cHM6Ly93d3cuaW5mb21vbmV5LmNvbS5ici9tZXJjYWRvcy9pYm92ZXNwYS1ob2plLWJvbHNhLWRlLXZhbG9yZXMtYW8tdml2by0wNTA2MjAyMy9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
Bradesco Asset Management,Itaú Unibanco e Pezco vencem 17ª edição do Prêmio Broadcast Projeções - Terra,Terra,01/06/2023,https://news.google.com/rss/articles/CBMipQFodHRwczovL3d3dy50ZXJyYS5jb20uYnIvZWNvbm9taWEvZGluaGVpcm8tZW0tYWNhby9pdGF1LXVuaWJhbmNvLWUtcGV6Y28tdmVuY2VtLTE3LWVkaWNhby1kby1wcmVtaW8tYnJvYWRjYXN0LXByb2plY29lcyxiMzdlNzQ4OWQzYzMzYzg1OTgyYzA4Mzc1MGUyYmQwMjMxM3pla2RmLmh0bWzSAakBaHR0cHM6Ly93d3cudGVycmEuY29tLmJyL2FtcC9lY29ub21pYS9kaW5oZWlyby1lbS1hY2FvL2l0YXUtdW5pYmFuY28tZS1wZXpjby12ZW5jZW0tMTctZWRpY2FvLWRvLXByZW1pby1icm9hZGNhc3QtcHJvamVjb2VzLGIzN2U3NDg5ZDNjMzNjODU5ODJjMDgzNzUwZTJiZDAyMzEzemVrZGYuaHRtbA?oc=5&hl=en-US&gl=US&ceid=US:en
Bradesco Asset Management,FOF: entenda o potencial dos Fundos de Fundos - Eu Quero Investir,Eu Quero Investir,31/05/2023,https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vZXVxdWVyb2ludmVzdGlyLmNvbS9maWktc3VtbWl0L3BvdGVuY2lhbC1kby1mb2Ytbm9zLWZpaXPSAQA?oc=5&hl=en-US&gl=US&ceid=US:en
Bradesco Asset Management,SLC Agrícola (SLCE3) mira biocombustíveis e startups para crescer ... - Seu Dinheiro,Seu Dinheiro,31/05/2023,https://news.google.com/rss/articles/CBMirAFodHRwczovL3d3dy5zZXVkaW5oZWlyby5jb20vMjAyMy9lbXByZXNhcy9zbGMtYWdyaWNvbGEtc2xjZTMtbWlyYS1iaW9jb21idXN0aXZlaXMtc3RhcnR1cHMtcGFyYS1jcmVzY2VyLW1hcy1zZW0tZGVpeGFyLWRlLWVuZ29yZGFyLWNvbnRhLWRvcy1hY2lvbmlzdGFzLWNvbS1kaXZpZGVuZG9zLWFjbm4v0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
Bradesco Asset Management,"Ibovespa fecha em queda com nova correção, mas segue para mês ... - UOL Economia",UOL Economia,30/05/2023,https://news.google.com/rss/articles/CBMigQFodHRwczovL2Vjb25vbWlhLnVvbC5jb20uYnIvbm90aWNpYXMvcmV1dGVycy8yMDIzLzA1LzMwL2lib3Zlc3BhLWZlY2hhLWVtLXF1ZWRhLWNvbS1ub3ZhLWNvcnJlY2FvLW1hcy1zZWd1ZS1wYXJhLW1lcy1wb3NpdGl2by5odG3SAYUBaHR0cHM6Ly9lY29ub21pYS51b2wuY29tLmJyL25vdGljaWFzL3JldXRlcnMvMjAyMy8wNS8zMC9pYm92ZXNwYS1mZWNoYS1lbS1xdWVkYS1jb20tbm92YS1jb3JyZWNhby1tYXMtc2VndWUtcGFyYS1tZXMtcG9zaXRpdm8uYW1wLmh0bQ?oc=5&hl=en-US&gl=US&ceid=US:en
Bradesco Asset Management,Notícias Diárias do Setor Financeiro | 29/05 - 02/06 - XP Investimentos - Expert XP,Expert XP,29/05/2023,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vY29udGV1ZG9zLnhwaS5jb20uYnIvYWNvZXMvcmVsYXRvcmlvcy9ub3RpY2lhcy1kaWFyaWFzLWRvLXNldG9yLWZpbmFuY2Vpcm8tMjktMDUtMDItMDYv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
Bradesco Asset Management,Sara Tonello e o risco de crédito de FIIs - Eu Quero Investir,Eu Quero Investir,25/05/2023,https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vZXVxdWVyb2ludmVzdGlyLmNvbS9mdW5kb3MtaW1vYmlsaWFyaW9zL3NhcmEtdG9uZWxsby1maWktc3VtbWl00gEA?oc=5&hl=en-US&gl=US&ceid=US:en
Bradesco Asset Management,Real Digital: BC divulga lista de participantes - Eu Quero Investir,Eu Quero Investir,24/05/2023,https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vZXVxdWVyb2ludmVzdGlyLmNvbS9lY29ub21pYS9yZWFsLWRpZ2l0YWwtcHJvamV0by1waWxvdG8tcGFydGljaXBhbnRlc9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en
Bradesco Asset Management,"Radar: CEO de CVC (CVCB3) renuncia, Americanas (AMER3) fecha 29 lojas desde crise e Oi (OIBR3) pode sofrer intervenção do governo - Suno Notícias",Suno Notícias,24/05/2023,https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vd3d3LnN1bm8uY29tLmJyL25vdGljaWFzL3JhZGFyLWN2Yy1jdmNiMy1hbWVyaWNhbmFzLWFtZXIzLW9pLW9pYnIzL9IBT2h0dHBzOi8vd3d3LnN1bm8uY29tLmJyL25vdGljaWFzL3JhZGFyLWN2Yy1jdmNiMy1hbWVyaWNhbmFzLWFtZXIzLW9pLW9pYnIzL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en
Bradesco Asset Management,Ibovespa recua pressionado por blue chips; Alpargatas dispara - UOL Economia,UOL Economia,22/05/2023,https://news.google.com/rss/articles/CBMieGh0dHBzOi8vZWNvbm9taWEudW9sLmNvbS5ici9ub3RpY2lhcy9yZXV0ZXJzLzIwMjMvMDUvMjIvaWJvdmVzcGEtcmVjdWEtcHJlc3Npb25hZG8tcG9yLWJsdWUtY2hpcHMtYWxwYXJnYXRhcy1kaXNwYXJhLmh0bdIBfGh0dHBzOi8vZWNvbm9taWEudW9sLmNvbS5ici9ub3RpY2lhcy9yZXV0ZXJzLzIwMjMvMDUvMjIvaWJvdmVzcGEtcmVjdWEtcHJlc3Npb25hZG8tcG9yLWJsdWUtY2hpcHMtYWxwYXJnYXRhcy1kaXNwYXJhLmFtcC5odG0?oc=5&hl=en-US&gl=US&ceid=US:en
Bradesco Asset Management,Bradesco (BBDC4) e varejistas se destacam nos ganhos da Bolsa; Vale (VALE3) e Hapvida (HAPV3) caem - InfoMoney,InfoMoney,19/05/2023,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvbWVyY2Fkb3MvaWJvdmVzcGEtaG9qZS1ib2xzYS1kZS12YWxvcmVzLWFvLXZpdm8tMTkwNTIwMjMv0gFaaHR0cHM6Ly93d3cuaW5mb21vbmV5LmNvbS5ici9tZXJjYWRvcy9pYm92ZXNwYS1ob2plLWJvbHNhLWRlLXZhbG9yZXMtYW8tdml2by0xOTA1MjAyMy9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
Bradesco Asset Management,EQI Research muda carteira recomendada de FIIs; veja - Eu Quero Investir,Eu Quero Investir,15/05/2023,https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vZXVxdWVyb2ludmVzdGlyLmNvbS9mdW5kb3MtaW1vYmlsaWFyaW9zL2VxaS1yZXNlYXJjaC1jYXJ0ZWlyYS1yZWNvbWVuZGFkYS1kZS1maWlzLW1haW_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en
Bradesco Asset Management,"Vale (VALE3), B3 (B3SA3) e Magalu (MGLU3) garantem ganhos da Bolsa; Petrobras (PETR4) e BB Seguridade (BBSE3) lideram quedas - InfoMoney",InfoMoney,15/05/2023,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvbWVyY2Fkb3MvaWJvdmVzcGEtaG9qZS1ib2xzYS1kZS12YWxvcmVzLWFvLXZpdm8tMTUwNTIwMjMv0gFaaHR0cHM6Ly93d3cuaW5mb21vbmV5LmNvbS5ici9tZXJjYWRvcy9pYm92ZXNwYS1ob2plLWJvbHNhLWRlLXZhbG9yZXMtYW8tdml2by0xNTA1MjAyMy9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
Bradesco Asset Management,Gabriel Porto participa do FII Summit - Eu Quero Investir,Eu Quero Investir,12/05/2023,https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vZXVxdWVyb2ludmVzdGlyLmNvbS9mdW5kb3MtaW1vYmlsaWFyaW9zL2dhYnJpZWwtcG9ydG8tZmlpLXN1bW1pdNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en
Bradesco Asset Management,"Arcabouço é insuficiente para baixar os juros, diz CEO da Bradesco ... - NeoFeed",NeoFeed,28/04/2023,https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vbmVvZmVlZC5jb20uYnIvYmxvZy9ob21lL2FyY2Fib3Vjby1lLWluc3VmaWNpZW50ZS1wYXJhLWJhaXhhci1vcy1qdXJvcy1kaXotY2VvLWRhLWJyYWRlc2NvLWFzc2V0L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en
Bradesco Asset Management,"Nas assets, R$ 82 bilhões a menos e muitas feridas pelo caminho - NeoFeed",NeoFeed,27/04/2023,https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vbmVvZmVlZC5jb20uYnIvbmVnb2Npb3MvbmFzLWFzc2V0cy1yLTgyLWJpbGhvZXMtYS1tZW5vcy1lLW11aXRhcy1mZXJpZGFzLXBlbG8tY2FtaW5oby_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en
Bradesco Asset Management,Campos Neto volta ao Senado para debate sobre juros com Haddad e Pacheco - VEJA,VEJA,27/04/2023,https://news.google.com/rss/articles/CBMib2h0dHBzOi8vdmVqYS5hYnJpbC5jb20uYnIvY29sdW5hL3JhZGFyL2NhbXBvcy1uZXRvLXZvbHRhLWFvLXNlbmFkby1wYXJhLWRlYmF0ZS1zb2JyZS1qdXJvcy1jb20taGFkZGFkLWUtcGFjaGVjb9IBdGh0dHBzOi8vdmVqYS5hYnJpbC5jb20uYnIvY29sdW5hL3JhZGFyL2NhbXBvcy1uZXRvLXZvbHRhLWFvLXNlbmFkby1wYXJhLWRlYmF0ZS1zb2JyZS1qdXJvcy1jb20taGFkZGFkLWUtcGFjaGVjby9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
Bradesco Asset Management,Governança global fraca induz à conservadorismo em investimentos - Revista Investidor Institucional,Revista Investidor Institucional,27/04/2023,https://news.google.com/rss/articles/CBMimgFodHRwczovL3d3dy5pbnZlc3RpZG9yaW5zdGl0dWNpb25hbC5jb20uYnIvc2Vzc29lcy9pbnZlc3RpZG9yZXMvZnVuZG9zZGVwZW5zYW8vMzk4NTQtZ292ZXJuYW5jYS1nbG9iYWwtZnJhY2EtaW5kdXotYS1jb25zZXJ2YWRvcmlzbW8tZW0taW52ZXN0aW1lbnRvcy5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
Bradesco Asset Management,Selic e arcabouço fiscal: quais as condições para os juros caírem? - Suno Notícias,Suno Notícias,25/04/2023,https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LnN1bm8uY29tLmJyL25vdGljaWFzL2NvbHVuYXMvbHVjaWFuby1jb3N0YS9zZWxpYy1lLWFyY2Fib3Vjby1maXNjYWwtcXVhaXMtYXMtY29uZGljb2VzLXBhcmEtb3MtanVyb3MtY2FpcmVtL9IBfGh0dHBzOi8vd3d3LnN1bm8uY29tLmJyL25vdGljaWFzL2NvbHVuYXMvbHVjaWFuby1jb3N0YS9zZWxpYy1lLWFyY2Fib3Vjby1maXNjYWwtcXVhaXMtYXMtY29uZGljb2VzLXBhcmEtb3MtanVyb3MtY2FpcmVtL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en
Bradesco Asset Management,Análise do fluxo de cotistas na indústria de fundos de investimento ... - Portal Acionista,Portal Acionista,24/04/2023,https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vYWNpb25pc3RhLmNvbS5ici9hbmFsaXNlLWRvLWZsdXhvLWRlLWNvdGlzdGFzLW5hLWluZHVzdHJpYS1kZS1mdW5kb3MtZGUtaW52ZXN0aW1lbnRvLW5vLWJyYXNpbC_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en
