gestora,title,publisher,published_date,url
Capitania Investimentos,"FII: IFIX de quarta-feira, 07 fechou em alta de 0,16% - br.ADVFN.com",br.ADVFN.com,09/06/2023,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vYnIuYWR2Zm4uY29tL2pvcm5hbC8yMDIzLzA2L2ZpaS1pZml4LWRlLXF1YXJ0YS1mZWlyYS0wNy1mZWNob3UtZW0tYWx0YS1kZS0wLTE20gEA?oc=5&hl=en-US&gl=US&ceid=US:en
Capitania Investimentos,Capitânia Yield 120 CP FIC FIM CP: Cotação e Indicadores | Expert ... - Expert XP,Expert XP,22/05/2023,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vY29udGV1ZG9zLnhwaS5jb20uYnIvZnVuZG9zLWRlLWludmVzdGltZW50by9jYXBpdGFuaWEteWllbGQtMTIwLWNwLWZpYy1maW0tY3Av0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
Capitania Investimentos,IFIX: entenda como funciona o principal índice de FIIs do Brasil - Empiricus,Empiricus,17/05/2023,https://news.google.com/rss/articles/CBMiKmh0dHBzOi8vd3d3LmVtcGlyaWN1cy5jb20uYnIvZXhwbGljYS9pZml4L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en
Capitania Investimentos,"FII CPTS11 anuncia rendimentos de R$ 0,81 em maio - Suno Notícias",Suno Notícias,12/05/2023,https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vd3d3LnN1bm8uY29tLmJyL25vdGljaWFzL2ZpaS1jcHRzMTEtcmVuZGltZW50by1tYWlvLTIwMjMv0gFFaHR0cHM6Ly93d3cuc3Vuby5jb20uYnIvbm90aWNpYXMvZmlpLWNwdHMxMS1yZW5kaW1lbnRvLW1haW8tMjAyMy9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
Capitania Investimentos,"10 fundos imobiliários com dividendos de até 16% para comprar em maio, segundo a Terra - Money Times",Money Times,04/05/2023,https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3Lm1vbmV5dGltZXMuY29tLmJyLzEwLWZ1bmRvcy1pbW9iaWxpYXJpb3MtY29tLWRpdmlkZW5kb3MtZGUtYXRlLTE2LXBhcmEtY29tcHJhci1lbS1tYWlvLXNlZ3VuZG8tYS10ZXJyYS_SAXdodHRwczovL3d3dy5tb25leXRpbWVzLmNvbS5ici8xMC1mdW5kb3MtaW1vYmlsaWFyaW9zLWNvbS1kaXZpZGVuZG9zLWRlLWF0ZS0xNi1wYXJhLWNvbXByYXItZW0tbWFpby1zZWd1bmRvLWEtdGVycmEvYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en
Capitania Investimentos,Resultados do 1T23 de RD (RADL3): plano de expansão e ... - Empiricus,Empiricus,03/05/2023,https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LmVtcGlyaWN1cy5jb20uYnIvYXJ0aWdvcy9pbnZlc3RpbWVudG9zL3Jlc3VsdGFkb3MtMXQyMy1yZC1yYWRsMy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en
Capitania Investimentos,Carteiras de Fundos Imobiliários de maio de 2023 + Ranking - br.ADVFN.com,br.ADVFN.com,03/05/2023,https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vYnIuYWR2Zm4uY29tL2pvcm5hbC8yMDIzLzA1L2NhcnRlaXJhcy1kZS1mdW5kb3MtaW1vYmlsaWFyaW9zLWRlLW1haW8tZGUtMjAyMy1yYW5raW5n0gFiaHR0cHM6Ly9ici5hZHZmbi5jb20vam9ybmFsLzIwMjMvMDUvY2FydGVpcmFzLWRlLWZ1bmRvcy1pbW9iaWxpYXJpb3MtZGUtbWFpby1kZS0yMDIzLXJhbmtpbmc_YW1wPTE?oc=5&hl=en-US&gl=US&ceid=US:en
Capitania Investimentos,"Temendo a crise, CPTS11 dá continuidade a reciclagem da carteira - fiis.com.br",fiis.com.br,27/04/2023,https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vZmlpcy5jb20uYnIvbm90aWNpYXMvY3Jpc2UtY3B0czExLWNvbnRpbnVpZGFkZS1yZWNpY2xhZ2VtLWRhLWNhcnRlaXJhL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en
Capitania Investimentos,Turbulência é o que a gente come no café da manhã (quase todos ... - Empiricus,Empiricus,27/04/2023,https://news.google.com/rss/articles/CBMif2h0dHBzOi8vd3d3LmVtcGlyaWN1cy5jb20uYnIvbmV3c2xldHRlcnMvZGlhcmlvLWRlLWJvcmRvL3R1cmJ1bGVuY2lhLWUtby1xdWUtYS1nZW50ZS1jb21lLW5vLWNhZmUtZGEtbWFuaGEtcXVhc2UtdG9kb3Mtb3MtZGlhcy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en
Capitania Investimentos,Capitânia capta forte no segmento de fundos previdenciários - Revista Investidor Institucional,Revista Investidor Institucional,24/04/2023,https://news.google.com/rss/articles/CBMiiwFodHRwczovL3d3dy5pbnZlc3RpZG9yaW5zdGl0dWNpb25hbC5jb20uYnIvc2Vzc29lcy9tZXJjYWRvcy9nZXN0b3Jlcy8zOTgzNS1jYXBpdGFuaWEtY2FwdGEtZm9ydGUtbm8tc2VnbWVudG8tZGUtZnVuZG9zLXByZXZpZGVuY2lhcmlvcy5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
