gestora,title,publisher,published_date,url
Genoa Capital,"Dólar recua para R$ 4,90, refletindo bom humor interno e global ... - br.ADVFN.com",br.ADVFN.com,06/06/2023,https://news.google.com/rss/articles/CBMic2h0dHBzOi8vYnIuYWR2Zm4uY29tL2pvcm5hbC8yMDIzLzA2L2RvbGFyLXJlY3VhLXBhcmEtci00LTkwLXJlZmxldGluZG8tYm9tLWh1bW9yLWludGVybm8tZS1nbG9iYWwtbmVzdGEtdGVyY2EtZmVpcmHSAQA?oc=5&hl=en-US&gl=US&ceid=US:en
Genoa Capital,Chance de a meta de inflação ser mantida em 3% volta a ganhar força no mercado - Bloomberg Línea Brasil,Bloomberg Línea Brasil,23/05/2023,https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3LmJsb29tYmVyZ2xpbmVhLmNvbS5ici8yMDIzLzA1LzIzL2NoYW5jZS1kZS1hLW1ldGEtZGUtaW5mbGFjYW8tc2VyLW1hbnRpZGEtZW0tMy12b2x0YS1hLWdhbmhhci1mb3JjYS1uby1tZXJjYWRvL9IBigFodHRwczovL3d3dy5ibG9vbWJlcmdsaW5lYS5jb20uYnIvMjAyMy8wNS8yMy9jaGFuY2UtZGUtYS1tZXRhLWRlLWluZmxhY2FvLXNlci1tYW50aWRhLWVtLTMtdm9sdGEtYS1nYW5oYXItZm9yY2Etbm8tbWVyY2Fkby8_b3V0cHV0VHlwZT1hbXA?oc=5&hl=en-US&gl=US&ceid=US:en
Genoa Capital,Gestoras se dividem em apostas em juro diante de pressão por corte da Selic - Bloomberg Línea Brasil,Bloomberg Línea Brasil,17/05/2023,https://news.google.com/rss/articles/CBMieWh0dHBzOi8vd3d3LmJsb29tYmVyZ2xpbmVhLmNvbS5ici8yMDIzLzA1LzE3L2dlc3RvcmFzLXNlLWRpdmlkZW0tZW0tYXBvc3Rhcy1lbS1qdXJvLWRpYW50ZS1kZS1wcmVzc2FvLXBvci1jb3J0ZS1kYS1zZWxpYy_SAYgBaHR0cHM6Ly93d3cuYmxvb21iZXJnbGluZWEuY29tLmJyLzIwMjMvMDUvMTcvZ2VzdG9yYXMtc2UtZGl2aWRlbS1lbS1hcG9zdGFzLWVtLWp1cm8tZGlhbnRlLWRlLXByZXNzYW8tcG9yLWNvcnRlLWRhLXNlbGljLz9vdXRwdXRUeXBlPWFtcA?oc=5&hl=en-US&gl=US&ceid=US:en
Genoa Capital,Fundos de previdência: maiores captações líquidas e retornos em ... - Portal Acionista,Portal Acionista,08/05/2023,https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vYWNpb25pc3RhLmNvbS5ici9mdW5kb3MtZGUtcHJldmlkZW5jaWEtbWFpb3Jlcy1jYXB0YWNvZXMtbGlxdWlkYXMtZS1yZXRvcm5vcy1lbS1hYnJpbC1kZS0yMDIzL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en
Genoa Capital,Money Week 8: que rolou no primeiro dia - Eu Quero Investir,Eu Quero Investir,03/05/2023,https://news.google.com/rss/articles/CBMiNWh0dHBzOi8vZXVxdWVyb2ludmVzdGlyLmNvbS9tb25leS13ZWVrLTgtcHJpbWVpcm8tZGlh0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
Genoa Capital,"Thierry R. Soret, da Usina Coruripe, na Money Week - Eu Quero Investir",Eu Quero Investir,30/04/2023,https://news.google.com/rss/articles/CBMiO2h0dHBzOi8vZXVxdWVyb2ludmVzdGlyLmNvbS9tb25leS13ZWVrL3RoaWVycnktcm9sYW5kLXNvcmV00gEA?oc=5&hl=en-US&gl=US&ceid=US:en
Genoa Capital,"André Senna Duarte, da Occam, na Money Week - Eu Quero Investir",Eu Quero Investir,28/04/2023,https://news.google.com/rss/articles/CBMiOWh0dHBzOi8vZXVxdWVyb2ludmVzdGlyLmNvbS9tb25leS13ZWVrL2FuZHJlLXNlbm5hLWR1YXJ0ZdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en
Genoa Capital,"Money Week 100 Dias de Governo: nos dias 2 e 3 de maio, evento online e gratuito debate as melhores estratégias para seus investimentos - Money Times",Money Times,28/04/2023,https://news.google.com/rss/articles/CBMitgFodHRwczovL3d3dy5tb25leXRpbWVzLmNvbS5ici9jb250ZXVkby1kZS1tYXJjYS9tb25leS13ZWVrLTEwMC1kaWFzLWRlLWdvdmVybm8tbm9zLWRpYXMtMi1lLTMtZGUtbWFpby1ldmVudG8tb25saW5lLWUtZ3JhdHVpdG8tZGViYXRlLWFzLW1lbGhvcmVzLWVzdHJhdGVnaWFzLXBhcmEtc2V1cy1pbnZlc3RpbWVudG9zL9IBugFodHRwczovL3d3dy5tb25leXRpbWVzLmNvbS5ici9jb250ZXVkby1kZS1tYXJjYS9tb25leS13ZWVrLTEwMC1kaWFzLWRlLWdvdmVybm8tbm9zLWRpYXMtMi1lLTMtZGUtbWFpby1ldmVudG8tb25saW5lLWUtZ3JhdHVpdG8tZGViYXRlLWFzLW1lbGhvcmVzLWVzdHJhdGVnaWFzLXBhcmEtc2V1cy1pbnZlc3RpbWVudG9zL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en
Genoa Capital,Falências e arcabouços - Empiricus,Empiricus,26/04/2023,https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3LmVtcGlyaWN1cy5jb20uYnIvbmV3c2xldHRlcnMvY2FydGEtZG8tZ2VzdG9yL2ZhbGVuY2lhcy1lLWFyY2Fib3Vjb3Mv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
Genoa Capital,Os melhores fundos de ações e multimercados em março e em 12 meses; tech e criptos lideram ganhos - InfoMoney,InfoMoney,18/04/2023,https://news.google.com/rss/articles/CBMijAFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL29uZGUtaW52ZXN0aXIvb3MtbWVsaG9yZXMtZnVuZG9zLWRlLWFjb2VzLWUtbXVsdGltZXJjYWRvcy1lbS1tYXJjby1lLWVtLTEyLW1lc2VzLXRlY2gtZS1jcmlwdG9zLWxpZGVyYW0tZ2FuaG9zL9IBkAFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL29uZGUtaW52ZXN0aXIvb3MtbWVsaG9yZXMtZnVuZG9zLWRlLWFjb2VzLWUtbXVsdGltZXJjYWRvcy1lbS1tYXJjby1lLWVtLTEyLW1lc2VzLXRlY2gtZS1jcmlwdG9zLWxpZGVyYW0tZ2FuaG9zL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en
