gestora,title,publisher,published_date,url
Legacy Capital,Virada se aproxima? Resgates de fundos de ações e multimercados alcançam menor valor do ano - InfoMoney,InfoMoney,06/06/2023,https://news.google.com/rss/articles/CBMihgFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL29uZGUtaW52ZXN0aXIvdmlyYWRhLXNlLWFwcm94aW1hLXJlc2dhdGVzLWRlLWZ1bmRvcy1kZS1hY29lcy1lLW11bHRpbWVyY2Fkb3MtYWxjYW5jYW0tbWVub3ItdmFsb3ItZG8tYW5vL9IBigFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL29uZGUtaW52ZXN0aXIvdmlyYWRhLXNlLWFwcm94aW1hLXJlc2dhdGVzLWRlLWZ1bmRvcy1kZS1hY29lcy1lLW11bHRpbWVyY2Fkb3MtYWxjYW5jYW0tbWVub3ItdmFsb3ItZG8tYW5vL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en
Legacy Capital,"Petrobras (PETR4) puxa ganhos da Bolsa após OPEP, junto com setor financeiro; Vale (VALE3) recua - InfoMoney",InfoMoney,05/06/2023,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvbWVyY2Fkb3MvaWJvdmVzcGEtaG9qZS1ib2xzYS1kZS12YWxvcmVzLWFvLXZpdm8tMDUwNjIwMjMv0gFaaHR0cHM6Ly93d3cuaW5mb21vbmV5LmNvbS5ici9tZXJjYWRvcy9pYm92ZXNwYS1ob2plLWJvbHNhLWRlLXZhbG9yZXMtYW8tdml2by0wNTA2MjAyMy9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
Legacy Capital,Legacy zera aposta na queda da Bolsa brasileira e prevê que BC inicie corte da Selic em agosto - InfoMoney,InfoMoney,05/06/2023,https://news.google.com/rss/articles/CBMiigFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL29uZGUtaW52ZXN0aXIvbGVnYWN5LXplcmEtYXBvc3RhLW5hLXF1ZWRhLWRhLWJvbHNhLWJyYXNpbGVpcmEtZS1wcmV2ZS1xdWUtYmMtaW5pY2llLWNvcnRlLWRhLXNlbGljLWVtLWFnb3N0by_SAY4BaHR0cHM6Ly93d3cuaW5mb21vbmV5LmNvbS5ici9vbmRlLWludmVzdGlyL2xlZ2FjeS16ZXJhLWFwb3N0YS1uYS1xdWVkYS1kYS1ib2xzYS1icmFzaWxlaXJhLWUtcHJldmUtcXVlLWJjLWluaWNpZS1jb3J0ZS1kYS1zZWxpYy1lbS1hZ29zdG8vYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en
Legacy Capital,Fique de olho (05/06/23): Mercados apresentam sinais mistos e ... - br.ADVFN.com,br.ADVFN.com,05/06/2023,https://news.google.com/rss/articles/CBMihAFodHRwczovL2JyLmFkdmZuLmNvbS9qb3JuYWwvMjAyMy8wNi9maXF1ZS1kZS1vbGhvLTA1LTA2LTIzLW1lcmNhZG9zLWFwcmVzZW50YW0tc2luYWlzLW1pc3Rvcy1lLWF2YWxpYW0tY29ydGUtZGUtcHJvZHVjYW8tZG8tcGV0cm9sZW_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en
Legacy Capital,Ataques de Lula ao Banco Central do Brasil enviam alerta mundo afora - InfoMoney,InfoMoney,24/05/2023,https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvZWNvbm9taWEvYXRhcXVlcy1kZS1sdWxhLWFvLWJhbmNvLWNlbnRyYWwtZG8tYnJhc2lsLWVudmlhbS1hbGVydGEtbXVuZG8tYWZvcmEv0gFvaHR0cHM6Ly93d3cuaW5mb21vbmV5LmNvbS5ici9lY29ub21pYS9hdGFxdWVzLWRlLWx1bGEtYW8tYmFuY28tY2VudHJhbC1kby1icmFzaWwtZW52aWFtLWFsZXJ0YS1tdW5kby1hZm9yYS9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
Legacy Capital,Oferta apertada versus temores de recessão: o que deve predominar nos preços do petróleo? - InfoMoney,InfoMoney,22/05/2023,https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvbWVyY2Fkb3Mvb2ZlcnRhLWFwZXJ0YWRhLXZlcnN1cy10ZW1vcmVzLWRlLXJlY2Vzc2FvLW8tcXVlLWRldmUtcHJlZG9taW5hci1ub3MtcHJlY29zLWRvLXBldHJvbGVvL9IBggFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL21lcmNhZG9zL29mZXJ0YS1hcGVydGFkYS12ZXJzdXMtdGVtb3Jlcy1kZS1yZWNlc3Nhby1vLXF1ZS1kZXZlLXByZWRvbWluYXItbm9zLXByZWNvcy1kby1wZXRyb2xlby9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
Legacy Capital,"Atualização fundos de crédito Brasil: carregos em abril, RJ Light e ... - Expert XP",Expert XP,19/05/2023,https://news.google.com/rss/articles/CBMijgFodHRwczovL2NvbnRldWRvcy54cGkuY29tLmJyL2Z1bmRvcy1kZS1pbnZlc3RpbWVudG8vcmVsYXRvcmlvcy9hdHVhbGl6YWNhby1mdW5kb3MtZGUtY3JlZGl0by1icmFzaWwtY2FycmVnb3MtZW0tYWJyaWwtcmotbGlnaHQtZS1wZXJzcGVjdGl2YXMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
Legacy Capital,"Se EUA entrarem em default, quebra-se todo o modelo do capitalismo, diz Gustavo Pessoa, da Legacy - InfoMoney",InfoMoney,18/05/2023,https://news.google.com/rss/articles/CBMihQFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL3N0b2NrLXBpY2tlcnMvc2UtZXVhLWVudHJhcmVtLWVtLWRlZmF1bHQtcXVlYnJhLXNlLXRvZG8tbW9kZWxvLWRvLWNhcGl0YWxpc21vLWRpei1ndXN0YXZvLXBlc3NvYS1sZWdhY3kv0gGJAWh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvc3RvY2stcGlja2Vycy9zZS1ldWEtZW50cmFyZW0tZW0tZGVmYXVsdC1xdWVicmEtc2UtdG9kby1tb2RlbG8tZG8tY2FwaXRhbGlzbW8tZGl6LWd1c3Rhdm8tcGVzc29hLWxlZ2FjeS9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
Legacy Capital,"CMN se reúne hoje, mas com baixa expectativa de mudança na meta de inflação - InfoMoney",InfoMoney,18/05/2023,https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvZWNvbm9taWEvY21uLXNlLXJldW5lLWhvamUtbWFzLWNvbS1iYWl4YS1leHBlY3RhdGl2YS1kZS1tdWRhbmNhLW5hLW1ldGEtZGUtaW5mbGFjYW8v0gF1aHR0cHM6Ly93d3cuaW5mb21vbmV5LmNvbS5ici9lY29ub21pYS9jbW4tc2UtcmV1bmUtaG9qZS1tYXMtY29tLWJhaXhhLWV4cGVjdGF0aXZhLWRlLW11ZGFuY2EtbmEtbWV0YS1kZS1pbmZsYWNhby9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
Legacy Capital,Gestoras se dividem em apostas em juro diante de pressão por corte da Selic - Bloomberg Línea Brasil,Bloomberg Línea Brasil,17/05/2023,https://news.google.com/rss/articles/CBMieWh0dHBzOi8vd3d3LmJsb29tYmVyZ2xpbmVhLmNvbS5ici8yMDIzLzA1LzE3L2dlc3RvcmFzLXNlLWRpdmlkZW0tZW0tYXBvc3Rhcy1lbS1qdXJvLWRpYW50ZS1kZS1wcmVzc2FvLXBvci1jb3J0ZS1kYS1zZWxpYy_SAYgBaHR0cHM6Ly93d3cuYmxvb21iZXJnbGluZWEuY29tLmJyLzIwMjMvMDUvMTcvZ2VzdG9yYXMtc2UtZGl2aWRlbS1lbS1hcG9zdGFzLWVtLWp1cm8tZGlhbnRlLWRlLXByZXNzYW8tcG9yLWNvcnRlLWRhLXNlbGljLz9vdXRwdXRUeXBlPWFtcA?oc=5&hl=en-US&gl=US&ceid=US:en
