gestora,title,publisher,published_date,url
MAG Investimentos,"Juros: Taxas têm viés de alta na sessão, mas em maio enfrentam queda – Últimas notícias – Estadão E-Investidor – As principais notícias do mercado financeiro - E-Investidor",E-Investidor,31/05/2023,https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vZWludmVzdGlkb3IuZXN0YWRhby5jb20uYnIvdWx0aW1hcy9qdXJvcy1hbHRhLXF1ZWRhLW1haW8v0gFEaHR0cHM6Ly9laW52ZXN0aWRvci5lc3RhZGFvLmNvbS5ici91bHRpbWFzL2p1cm9zLWFsdGEtcXVlZGEtbWFpby9hbXA?oc=5&hl=en-US&gl=US&ceid=US:en
MAG Investimentos,Juros: taxas futuras voltam a cair com negociação da dívida nos ... - E-Investidor,E-Investidor,26/05/2023,https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vZWludmVzdGlkb3IuZXN0YWRhby5jb20uYnIvdWx0aW1hcy9qdXJvcy1mZWNoYW0tcXVlZGEtbmVnb2NpYWNhby1kaXZpZGEtZXVhL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en
MAG Investimentos,"Atualização fundos de crédito Brasil: carregos em abril, RJ Light e ... - Expert XP",Expert XP,19/05/2023,https://news.google.com/rss/articles/CBMijgFodHRwczovL2NvbnRldWRvcy54cGkuY29tLmJyL2Z1bmRvcy1kZS1pbnZlc3RpbWVudG8vcmVsYXRvcmlvcy9hdHVhbGl6YWNhby1mdW5kb3MtZGUtY3JlZGl0by1icmFzaWwtY2FycmVnb3MtZW0tYWJyaWwtcmotbGlnaHQtZS1wZXJzcGVjdGl2YXMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
MAG Investimentos,Juros: DIs fecham entre leve baixa e leve alta com arcabouço no radar – Últimas notícias – Estadão E-Investidor – As principais notícias do mercado financeiro - E-Investidor,E-Investidor,18/05/2023,https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vZWludmVzdGlkb3IuZXN0YWRhby5jb20uYnIvdWx0aW1hcy9qdXJvcy1mZWNoYW1lbnRvLWFyY2Fib3Vjby1maXNjYWwv0gFQaHR0cHM6Ly9laW52ZXN0aWRvci5lc3RhZGFvLmNvbS5ici91bHRpbWFzL2p1cm9zLWZlY2hhbWVudG8tYXJjYWJvdWNvLWZpc2NhbC9hbXA?oc=5&hl=en-US&gl=US&ceid=US:en
MAG Investimentos,MAG Investimentos revisa projeções do PIB para 1º tri e 2023 – Últimas notícias – Estadão E-Investidor – As principais notícias do mercado financeiro - E-Investidor,E-Investidor,17/05/2023,https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vZWludmVzdGlkb3IuZXN0YWRhby5jb20uYnIvdWx0aW1hcy9tYWctaW52ZXN0aW1lbnRvcy1wcm9qZWNhby1waWItMjAyMy_SAVJodHRwczovL2VpbnZlc3RpZG9yLmVzdGFkYW8uY29tLmJyL3VsdGltYXMvbWFnLWludmVzdGltZW50b3MtcHJvamVjYW8tcGliLTIwMjMvYW1w?oc=5&hl=en-US&gl=US&ceid=US:en
MAG Investimentos,Azos investe em expansão e entra em três novos mercados - Terra,Terra,15/05/2023,https://news.google.com/rss/articles/CBMiowFodHRwczovL3d3dy50ZXJyYS5jb20uYnIvZWNvbm9taWEvZGluaGVpcm8tZW0tZGlhL21ldS1uZWdvY2lvL2F6b3MtaW52ZXN0ZS1lbS1leHBhbnNhby1lLWVudHJhLWVtLXRyZXMtbm92b3MtbWVyY2Fkb3MsYWM2ZDRjYzY1M2RjMjNjMTdmNzM5MWMxOTIxMTM1MGJlaDMzb21obi5odG1s0gGnAWh0dHBzOi8vd3d3LnRlcnJhLmNvbS5ici9hbXAvZWNvbm9taWEvZGluaGVpcm8tZW0tZGlhL21ldS1uZWdvY2lvL2F6b3MtaW52ZXN0ZS1lbS1leHBhbnNhby1lLWVudHJhLWVtLXRyZXMtbm92b3MtbWVyY2Fkb3MsYWM2ZDRjYzY1M2RjMjNjMTdmNzM5MWMxOTIxMTM1MGJlaDMzb21obi5odG1s?oc=5&hl=en-US&gl=US&ceid=US:en
MAG Investimentos,Juros: Inflação menor nos EUA fortalece apostas de corte do Fed e derruba DIs – Últimas notícias – Estadão E-Investidor – As principais notícias do mercado financeiro - E-Investidor,E-Investidor,10/05/2023,https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vZWludmVzdGlkb3IuZXN0YWRhby5jb20uYnIvdWx0aW1hcy9qdXJvcy1mZWNoYW1lbnRvLTEwLTA1LTIwMjMv0gFKaHR0cHM6Ly9laW52ZXN0aWRvci5lc3RhZGFvLmNvbS5ici91bHRpbWFzL2p1cm9zLWZlY2hhbWVudG8tMTAtMDUtMjAyMy9hbXA?oc=5&hl=en-US&gl=US&ceid=US:en
MAG Investimentos,Juros: DIs têm queda na sexta; curva amplia inclinação negativa na semana – Últimas notícias – Estadão E-Investidor – As principais notícias do mercado financeiro - E-Investidor,E-Investidor,05/05/2023,https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vZWludmVzdGlkb3IuZXN0YWRhby5jb20uYnIvdWx0aW1hcy9qdXJvcy1mZWNoYW1lbnRvLTA1LTA1LTIwMjMv0gFKaHR0cHM6Ly9laW52ZXN0aWRvci5lc3RhZGFvLmNvbS5ici91bHRpbWFzL2p1cm9zLWZlY2hhbWVudG8tMDUtMDUtMjAyMy9hbXA?oc=5&hl=en-US&gl=US&ceid=US:en
MAG Investimentos,Financeiro - Broadcast,Broadcast,03/05/2023,https://news.google.com/rss/articles/CBMiUGh0dHA6Ly9icm9hZGNhc3QuY29tLmJyL2NhZGVybm9zL2ZpbmFuY2Vpcm8vP2lkPU5WaFJVWGhqWW14VFZubG5iVmxMZDJKSVdXUk9kejA50gEA?oc=5&hl=en-US&gl=US&ceid=US:en
MAG Investimentos,Juros: taxas sobem com piora do risco fiscal e dados de trabalho – Últimas notícias – Estadão E-Investidor – As principais notícias do mercado financeiro - E-Investidor,E-Investidor,28/04/2023,https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vZWludmVzdGlkb3IuZXN0YWRhby5jb20uYnIvdWx0aW1hcy9qdXJvcy1mZWNoYW1lbnRvLWFsdGEtMjgtMDQtMjAyMy_SAU9odHRwczovL2VpbnZlc3RpZG9yLmVzdGFkYW8uY29tLmJyL3VsdGltYXMvanVyb3MtZmVjaGFtZW50by1hbHRhLTI4LTA0LTIwMjMvYW1w?oc=5&hl=en-US&gl=US&ceid=US:en
