gestora,title,publisher,published_date,url
Rio Bravo,Dicas de Leitura – 09/06/2023 - Portal Acionista,Portal Acionista,10/06/2023,https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vYWNpb25pc3RhLmNvbS5ici9kaWNhcy1kZS1sZWl0dXJhLTA5LTA2LTIwMjMtMi_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en
Rio Bravo,Fabrizio Gallas: 'O caso Alcaraz em Roland Garros e o paralelo com Bia Haddad' - Terra,Terra,09/06/2023,https://news.google.com/rss/articles/CBMioQFodHRwczovL3d3dy50ZXJyYS5jb20uYnIvZXNwb3J0ZXMvdGVuaXMvZmFicml6aW8tZ2FsbGFzLW8tY2Fzby1hbGNhcmF6LWVtLXJvbGFuZC1nYXJyb3MtZS1vLXBhcmFsZWxvLWNvbS1iaWEtaGFkZGFkLGJlN2MzYmYyZjZlNmVhYTI1YzFlZjdjNWE1ZmMyNTBlbGlmYW5qbW8uaHRtbNIBpQFodHRwczovL3d3dy50ZXJyYS5jb20uYnIvYW1wL2VzcG9ydGVzL3RlbmlzL2ZhYnJpemlvLWdhbGxhcy1vLWNhc28tYWxjYXJhei1lbS1yb2xhbmQtZ2Fycm9zLWUtby1wYXJhbGVsby1jb20tYmlhLWhhZGRhZCxiZTdjM2JmMmY2ZTZlYWEyNWMxZWY3YzVhNWZjMjUwZWxpZmFuam1vLmh0bWw?oc=5&hl=en-US&gl=US&ceid=US:en
Rio Bravo,"Ibovespa sobe 6,6% em 5 sessões e vai a 115 mil pontos, com IPCA reforçando gatilho positivo: até onde vai o ânimo? - InfoMoney",InfoMoney,07/06/2023,https://news.google.com/rss/articles/CBMioQFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL21lcmNhZG9zL2lib3Zlc3BhLWRvcy0xMDgtbWlsLWFvcy0xMTUtbWlsLXBvbnRvcy1lbS01LXNlc3NvZXMtaXBjYS1yZWZvcmNhLWdhdGlsaG8tcG9zaXRpdm8tZS1zaW5hbGl6YS1xdWUtbWFpcy1hbHRhcy1lc3Rhby1wb3ItdmlyL9IBpQFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL21lcmNhZG9zL2lib3Zlc3BhLWRvcy0xMDgtbWlsLWFvcy0xMTUtbWlsLXBvbnRvcy1lbS01LXNlc3NvZXMtaXBjYS1yZWZvcmNhLWdhdGlsaG8tcG9zaXRpdm8tZS1zaW5hbGl6YS1xdWUtbWFpcy1hbHRhcy1lc3Rhby1wb3ItdmlyL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en
Rio Bravo,"Nova surpresa positiva com IPCA abre espaço para BC começar a cortar os juros em agosto, dizem analistas - InfoMoney",InfoMoney,07/06/2023,https://news.google.com/rss/articles/CBMijgFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL2Vjb25vbWlhL25vdmEtc3VycHJlc2EtcG9zaXRpdmEtY29tLWlwY2EtYWJyZS1lc3BhY28tcGFyYS1iYy1jb21lY2FyLWEtY29ydGFyLW9zLWp1cm9zLWVtLWFnb3N0by1kaXplbS1hbmFsaXN0YXMv0gGSAWh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvZWNvbm9taWEvbm92YS1zdXJwcmVzYS1wb3NpdGl2YS1jb20taXBjYS1hYnJlLWVzcGFjby1wYXJhLWJjLWNvbWVjYXItYS1jb3J0YXItb3MtanVyb3MtZW0tYWdvc3RvLWRpemVtLWFuYWxpc3Rhcy9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
Rio Bravo,"Bolsa hoje: Na contramão de NY, Ibovespa fecha em leve alta com ... - Seu Dinheiro",Seu Dinheiro,05/06/2023,https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vd3d3LnNldWRpbmhlaXJvLmNvbS8yMDIzL2JvbHNhLWRvbGFyL2lib3Zlc3BhLWJvbHNhLWRvbGFyLWNhbWJpby0wNS0wNi1yc2dwLWpzbW4tbGlscy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en
Rio Bravo,Fundo imobiliário RCRB11 loca imóvel e reduz vacância do ... - Seu Dinheiro,Seu Dinheiro,05/06/2023,https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy5zZXVkaW5oZWlyby5jb20vMjAyMy9ib2xzYS1kb2xhci9mdW5kby1pbW9iaWxpYXJpby1yY3JiMTEtbG9jYS1pbW92ZWwtZS1yZWR1ei12YWNhbmNpYS1kby1wb3J0Zm9saW8tZGl2aWRlbmRvcy1sdml0L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en
Rio Bravo,Do Memorial Office e Pátio Higienópolis aos fundos de “papel”: FIIs completam 30 anos; o que vem por aí? - InfoMoney,InfoMoney,03/06/2023,https://news.google.com/rss/articles/CBMijwFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL29uZGUtaW52ZXN0aXIvZG8tbWVtb3JpYWwtb2ZmaWNlLWUtcGF0aW8taGlnaWVub3BvbGlzLWFvcy1mdW5kb3MtZGUtcGFwZWwtZmlpcy1jb21wbGV0YW0tMzAtYW5vcy1vLXF1ZS12ZW0tcG9yLWFpL9IBkwFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL29uZGUtaW52ZXN0aXIvZG8tbWVtb3JpYWwtb2ZmaWNlLWUtcGF0aW8taGlnaWVub3BvbGlzLWFvcy1mdW5kb3MtZGUtcGFwZWwtZmlpcy1jb21wbGV0YW0tMzAtYW5vcy1vLXF1ZS12ZW0tcG9yLWFpL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en
Rio Bravo,Dicas da Semana – A inclusão começa por você 02/06/2023 - Portal Acionista,Portal Acionista,03/06/2023,https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vYWNpb25pc3RhLmNvbS5ici9kaWNhcy1kYS1zZW1hbmEtYS1pbmNsdXNhby1jb21lY2EtcG9yLXZvY2UtMDItMDYtMjAyMy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en
Rio Bravo,RBED11 anuncia pagamento ao grupo Gogna referente a operação ... - clubefiinews.com.br,clubefiinews.com.br,02/06/2023,https://news.google.com/rss/articles/CBMieWh0dHBzOi8vd3d3LmNsdWJlZmlpbmV3cy5jb20uYnIvZWR1Y2FjaW9uYWwvcmJlZDExLWFudW5jaWEtcGFnYW1lbnRvLWFvLWdydXBvLWdvZ25hLXJlZmVyZW50ZS1hLW9wZXJhY2FvLWluaWNpYWRhLWVtLTIwMTnSAQA?oc=5&hl=en-US&gl=US&ceid=US:en
Rio Bravo,"Veja os melhores FIIs para investir em junho de 2023, com 12 carteiras - spacemoney.com.br",spacemoney.com.br,02/06/2023,https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnNwYWNlbW9uZXkuY29tLmJyL3NwYWNlZGljYXMvdmVqYS1vcy1tZWxob3Jlcy1maWlzLXBhcmEtaW52ZXN0aXItZW0tanVuaG8tZGUtMjAyMy8xOTM4ODgv0gFmaHR0cHM6Ly93d3cuc3BhY2Vtb25leS5jb20uYnIvbm90aWNpYS9hbXAvMTkzODg4L3ZlamEtb3MtbWVsaG9yZXMtZmlpcy1wYXJhLWludmVzdGlyLWVtLWp1bmhvLWRlLTIwMjMv?oc=5&hl=en-US&gl=US&ceid=US:en
