gestora,title,publisher,published_date,url
SPX Capital,"Ibovespa: Petrobras (PETR4), Vale (VALE3) e os motivos por trás da disparada nesta sexta - Money Times",Money Times,09/06/2023,https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3Lm1vbmV5dGltZXMuY29tLmJyL2lib3Zlc3BhLXBldHJvYnJhcy1wZXRyNC12YWxlLXZhbGUzLWUtb3MtbW90aXZvcy1wb3ItdHJhcy1kYS1kaXNwYXJhZGEtbmVzdGEtc2V4dGEv0gF1aHR0cHM6Ly93d3cubW9uZXl0aW1lcy5jb20uYnIvaWJvdmVzcGEtcGV0cm9icmFzLXBldHI0LXZhbGUtdmFsZTMtZS1vcy1tb3Rpdm9zLXBvci10cmFzLWRhLWRpc3BhcmFkYS1uZXN0YS1zZXh0YS9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
SPX Capital,Recessão para quem? O touro está de volta em Nova York - Money Times,Money Times,09/06/2023,https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3Lm1vbmV5dGltZXMuY29tLmJyL3JlY2Vzc2FvLXBhcmEtcXVlbS1vLXRvdXJvLWVzdGEtZGUtdm9sdGEtZW0tbm92YS15b3JrL9IBWGh0dHBzOi8vd3d3Lm1vbmV5dGltZXMuY29tLmJyL3JlY2Vzc2FvLXBhcmEtcXVlbS1vLXRvdXJvLWVzdGEtZGUtdm9sdGEtZW0tbm92YS15b3JrL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en
SPX Capital,Tok&Stok: os bastidores da reação contra a empresa que pediu a sua falência - Bloomberg Línea Brasil,Bloomberg Línea Brasil,31/05/2023,https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3LmJsb29tYmVyZ2xpbmVhLmNvbS5ici8yMDIzLzA1LzMxL3Rva3N0b2stb3MtYmFzdGlkb3Jlcy1kYS1yZWFjYW8tY29udHJhLWEtZW1wcmVzYS1xdWUtcGVkaXUtYS1zdWEtZmFsZW5jaWEv0gGGAWh0dHBzOi8vd3d3LmJsb29tYmVyZ2xpbmVhLmNvbS5ici8yMDIzLzA1LzMxL3Rva3N0b2stb3MtYmFzdGlkb3Jlcy1kYS1yZWFjYW8tY29udHJhLWEtZW1wcmVzYS1xdWUtcGVkaXUtYS1zdWEtZmFsZW5jaWEvP291dHB1dFR5cGU9YW1w?oc=5&hl=en-US&gl=US&ceid=US:en
SPX Capital,"Nvidia impulsiona Nasdaq, acordo sobre dívida anima mercado - Money Times",Money Times,30/05/2023,https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3Lm1vbmV5dGltZXMuY29tLmJyL252aWRpYS1pbXB1bHNpb25hLW5hc2RhcS1hY29yZG8tc29icmUtZGl2aWRhLWFuaW1hLW1lcmNhZG8v0gFdaHR0cHM6Ly93d3cubW9uZXl0aW1lcy5jb20uYnIvbnZpZGlhLWltcHVsc2lvbmEtbmFzZGFxLWFjb3Jkby1zb2JyZS1kaXZpZGEtYW5pbWEtbWVyY2Fkby9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
SPX Capital,Wall Street cai com preocupações em meio a impasse sobre teto da dívida - Money Times,Money Times,23/05/2023,https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3Lm1vbmV5dGltZXMuY29tLmJyL3dhbGwtc3RyZWV0LWNhaS1jb20tcHJlb2N1cGFjb2VzLWVtLW1laW8tYS1pbXBhc3NlLXNvYnJlLXRldG8tZGEtZGl2aWRhL9IBamh0dHBzOi8vd3d3Lm1vbmV5dGltZXMuY29tLmJyL3dhbGwtc3RyZWV0LWNhaS1jb20tcHJlb2N1cGFjb2VzLWVtLW1laW8tYS1pbXBhc3NlLXNvYnJlLXRldG8tZGEtZGl2aWRhL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en
SPX Capital,Notícias Diárias do Setor Financeiro | 22/05 - 26/05 - XP Investimentos - Expert XP,Expert XP,22/05/2023,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vY29udGV1ZG9zLnhwaS5jb20uYnIvYWNvZXMvcmVsYXRvcmlvcy9ub3RpY2lhcy1kaWFyaWFzLWRvLXNldG9yLWZpbmFuY2Vpcm8tMjItMDUtMjYtMDUv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
SPX Capital,Tempo Real: China salva e Ibovespa ‘fura’ os 109 mil pontos - Money Times,Money Times,15/05/2023,https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3Lm1vbmV5dGltZXMuY29tLmJyL3RlbXBvLXJlYWwtaWJvdmVzcGEtY29ycmUtcmlzY28tZGUtcmVhbGl6YXItbHVjcm9zLW5lc3RhLXNlZ3VuZGEtZmVpcmEtMTUv0gFsaHR0cHM6Ly93d3cubW9uZXl0aW1lcy5jb20uYnIvdGVtcG8tcmVhbC1pYm92ZXNwYS1jb3JyZS1yaXNjby1kZS1yZWFsaXphci1sdWNyb3MtbmVzdGEtc2VndW5kYS1mZWlyYS0xNS9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
SPX Capital,Lojas fechadas e pedido de falência: entenda a derrocada da Tok&Stok - UOL Economia,UOL Economia,30/04/2023,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vZWNvbm9taWEudW9sLmNvbS5ici9ub3RpY2lhcy9yZWRhY2FvLzIwMjMvMDQvMzAvdG9rc3Rvay1kaXZpZGFzLWZlY2hhbWVudG8tZGUtbG9qYXMuaHRt0gFjaHR0cHM6Ly9lY29ub21pYS51b2wuY29tLmJyL25vdGljaWFzL3JlZGFjYW8vMjAyMy8wNC8zMC90b2tzdG9rLWRpdmlkYXMtZmVjaGFtZW50by1kZS1sb2phcy5hbXAuaHRt?oc=5&hl=en-US&gl=US&ceid=US:en
SPX Capital,SPX aumenta participação no capital da 3R (RRRP3) – Últimas notícias – Estadão E-Investidor – As principais notícias do mercado financeiro - E-Investidor,E-Investidor,19/04/2023,https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vZWludmVzdGlkb3IuZXN0YWRhby5jb20uYnIvdWx0aW1hcy8zci1ycnJwMy1wYXJ0aWNpcGFjYW8tc3B4L9IBSGh0dHBzOi8vZWludmVzdGlkb3IuZXN0YWRhby5jb20uYnIvdWx0aW1hcy8zci1ycnJwMy1wYXJ0aWNpcGFjYW8tc3B4L2FtcA?oc=5&hl=en-US&gl=US&ceid=US:en
SPX Capital,Artigo: 100 dias de governo - Correio Braziliense,Correio Braziliense,16/04/2023,https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3LmNvcnJlaW9icmF6aWxpZW5zZS5jb20uYnIvb3Bpbmlhby8yMDIzLzA0LzUwODc2ODYtYXJ0aWdvLTEwMC1kaWFzLWRlLWdvdmVybm8uaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en
SPX Capital,Exclusivo: Tok&Stok demite executivos e fundadora volta à diretoria - InfoMoney,InfoMoney,13/04/2023,https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvbmVnb2Npb3MvdG9rc3Rvay1kZW1pdGUtZXhlY3V0aXZvcy1lLWZ1bmRhZG9yYS12b2x0YS1hLWRpcmV0b3JpYS_SAWJodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL25lZ29jaW9zL3Rva3N0b2stZGVtaXRlLWV4ZWN1dGl2b3MtZS1mdW5kYWRvcmEtdm9sdGEtYS1kaXJldG9yaWEvYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en
