gestora,title,publisher,published_date,url
Santander Asset Management,Perfil de Roberto Gonzalez no Investing.com - Investing.com Brasil,Investing.com Brasil,07/06/2023,https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vYnIuaW52ZXN0aW5nLmNvbS9tZW1iZXJzL2NvbnRyaWJ1dG9ycy8yNTAxODA5MjDSAQA?oc=5&hl=en-US&gl=US&ceid=US:en
Santander Asset Management,Fundos da JHSF (JHSF3) adquirem 33% do Cidade Jardim; ações ... - Investing.com Brasil,Investing.com Brasil,06/06/2023,https://news.google.com/rss/articles/CBMidWh0dHBzOi8vYnIuaW52ZXN0aW5nLmNvbS9uZXdzL3N0b2NrLW1hcmtldC1uZXdzL2Z1bmRvcy1kYS1qaHNmLWpoc2YzLWFkcXVpcmVtLTMzLWRvLWNpZGFkZS1qYXJkaW0tYWNvZXMtc29iZW0tMTEyMDEyOdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en
Santander Asset Management,Notícias Diárias do Setor Financeiro | 29/05 - 02/06 - XP Investimentos - Expert XP,Expert XP,29/05/2023,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vY29udGV1ZG9zLnhwaS5jb20uYnIvYWNvZXMvcmVsYXRvcmlvcy9ub3RpY2lhcy1kaWFyaWFzLWRvLXNldG9yLWZpbmFuY2Vpcm8tMjktMDUtMDItMDYv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
Santander Asset Management,Real Digital: BC divulga lista de participantes - Eu Quero Investir,Eu Quero Investir,24/05/2023,https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vZXVxdWVyb2ludmVzdGlyLmNvbS9lY29ub21pYS9yZWFsLWRpZ2l0YWwtcHJvamV0by1waWxvdG8tcGFydGljaXBhbnRlc9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en
Santander Asset Management,BC anuncia 14 instituições para testes do Real Digital; veja lista - InfoMoney,InfoMoney,24/05/2023,https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvbWluaGFzLWZpbmFuY2FzL2JjLWFudW5jaWEtMTQtaW5zdGl0dWljb2VzLXBhcmEtdGVzdGVzLWRvLXJlYWwtZGlnaXRhbC12ZWphLWxpc3RhL9IBc2h0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvbWluaGFzLWZpbmFuY2FzL2JjLWFudW5jaWEtMTQtaW5zdGl0dWljb2VzLXBhcmEtdGVzdGVzLWRvLXJlYWwtZGlnaXRhbC12ZWphLWxpc3RhL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en
Santander Asset Management,"Radar: CEO de CVC (CVCB3) renuncia, Americanas (AMER3) fecha 29 lojas desde crise e Oi (OIBR3) pode sofrer intervenção do governo - Suno Notícias",Suno Notícias,24/05/2023,https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vd3d3LnN1bm8uY29tLmJyL25vdGljaWFzL3JhZGFyLWN2Yy1jdmNiMy1hbWVyaWNhbmFzLWFtZXIzLW9pLW9pYnIzL9IBT2h0dHBzOi8vd3d3LnN1bm8uY29tLmJyL25vdGljaWFzL3JhZGFyLWN2Yy1jdmNiMy1hbWVyaWNhbmFzLWFtZXIzLW9pLW9pYnIzL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en
Santander Asset Management,Podcast #VaiFundo: agendas ESG e cripto avançam com a ... - Anbima,Anbima,23/05/2023,https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LmFuYmltYS5jb20uYnIvcHRfYnIvbm90aWNpYXMvcG9kY2FzdC12YWlmdW5kby1hZ2VuZGFzLWVzZy1lLWNyaXB0by1hdmFuY2FtLWNvbS1hLXJlc29sdWNhby0xNzUuaHRt0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
Santander Asset Management,"Arcabouço é insuficiente para baixar os juros, diz CEO da Bradesco ... - NeoFeed",NeoFeed,28/04/2023,https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vbmVvZmVlZC5jb20uYnIvYmxvZy9ob21lL2FyY2Fib3Vjby1lLWluc3VmaWNpZW50ZS1wYXJhLWJhaXhhci1vcy1qdXJvcy1kaXotY2VvLWRhLWJyYWRlc2NvLWFzc2V0L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en
Santander Asset Management,"Alta dos juros impulsiona lucro global do Santander, que supera estimativas - Bloomberg Línea Brasil",Bloomberg Línea Brasil,25/04/2023,https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3LmJsb29tYmVyZ2xpbmVhLmNvbS5ici8yMDIzLzA0LzI1L2FsdGEtZG9zLWp1cm9zLWltcHVsc2lvbmEtbHVjcm8tZ2xvYmFsLWRvLXNhbnRhbmRlci1xdWUtc3VwZXJhLWFzLWVzdGltYXRpdmFzL9IBigFodHRwczovL3d3dy5ibG9vbWJlcmdsaW5lYS5jb20uYnIvMjAyMy8wNC8yNS9hbHRhLWRvcy1qdXJvcy1pbXB1bHNpb25hLWx1Y3JvLWdsb2JhbC1kby1zYW50YW5kZXItcXVlLXN1cGVyYS1hcy1lc3RpbWF0aXZhcy8_b3V0cHV0VHlwZT1hbXA?oc=5&hl=en-US&gl=US&ceid=US:en
Santander Asset Management,De Banco do Brasil (BBAS3) a B3 (B3SA3): O que XP espera ver nos resultados de 7 empresas do setor financeiro - Money Times,Money Times,18/04/2023,https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy5tb25leXRpbWVzLmNvbS5ici9kZS1iYW5jby1kby1icmFzaWwtYmJhczMtYS1iMy1iM3NhMy1vLXF1ZS14cC1lc3BlcmEtdmVyLW5vcy1yZXN1bHRhZG9zLWRlLTctZW1wcmVzYXMtZG8tc2V0b3ItZmluYW5jZWlyby_SAYsBaHR0cHM6Ly93d3cubW9uZXl0aW1lcy5jb20uYnIvZGUtYmFuY28tZG8tYnJhc2lsLWJiYXMzLWEtYjMtYjNzYTMtby1xdWUteHAtZXNwZXJhLXZlci1ub3MtcmVzdWx0YWRvcy1kZS03LWVtcHJlc2FzLWRvLXNldG9yLWZpbmFuY2Vpcm8vYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en
