gestora,title,publisher,published_date,url
Valora Investimentos,Fundos de logística sustentam ganhos do Ifix; FII ‘high yield’ tem novo mês de dividendo zero - InfoMoney,InfoMoney,09/06/2023,https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvb25kZS1pbnZlc3Rpci9maWktdG9yZDExLWRpdmlkZW5kb3MtanVuaG8tMjAyMy_SAVBodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL29uZGUtaW52ZXN0aXIvZmlpLXRvcmQxMS1kaXZpZGVuZG9zLWp1bmhvLTIwMjMvYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en
Valora Investimentos,Cinco FIIs têm mais de 80% da carteira exposta ao IPCA; o que acontecerá com eles com a queda da inflação? - InfoMoney,InfoMoney,07/06/2023,https://news.google.com/rss/articles/CBMikwFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL29uZGUtaW52ZXN0aXIvY2luY28tZmlpcy10ZW0tbWFpcy1kZS04MC1kYS1jYXJ0ZWlyYS1leHBvc3RhLWFvLWlwY2Etby1xdWUtYWNvbnRlY2VyYS1jb20tZWxlcy1jb20tYS1xdWVkYS1kYS1pbmZsYWNhby_SAZcBaHR0cHM6Ly93d3cuaW5mb21vbmV5LmNvbS5ici9vbmRlLWludmVzdGlyL2NpbmNvLWZpaXMtdGVtLW1haXMtZGUtODAtZGEtY2FydGVpcmEtZXhwb3N0YS1hby1pcGNhLW8tcXVlLWFjb250ZWNlcmEtY29tLWVsZXMtY29tLWEtcXVlZGEtZGEtaW5mbGFjYW8vYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en
Valora Investimentos,"Veja os melhores FIIs para investir em junho de 2023, com 12 carteiras - spacemoney.com.br",spacemoney.com.br,02/06/2023,https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnNwYWNlbW9uZXkuY29tLmJyL3NwYWNlZGljYXMvdmVqYS1vcy1tZWxob3Jlcy1maWlzLXBhcmEtaW52ZXN0aXItZW0tanVuaG8tZGUtMjAyMy8xOTM4ODgv0gFmaHR0cHM6Ly93d3cuc3BhY2Vtb25leS5jb20uYnIvbm90aWNpYS9hbXAvMTkzODg4L3ZlamEtb3MtbWVsaG9yZXMtZmlpcy1wYXJhLWludmVzdGlyLWVtLWp1bmhvLWRlLTIwMjMv?oc=5&hl=en-US&gl=US&ceid=US:en
Valora Investimentos,"Investidores do FII VGHF11 terão direito a R$ 0,11 em rendimentos; veja mais detalhes - Suno Notícias",Suno Notícias,01/06/2023,https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LnN1bm8uY29tLmJyL25vdGljaWFzL2FnZW5kYS1kaXZpZGVuZG9zLWZ1bmRvLWltb2JpbGlhcmlvLXZnaGYxMS1qdW5oby_SAVZodHRwczovL3d3dy5zdW5vLmNvbS5ici9ub3RpY2lhcy9hZ2VuZGEtZGl2aWRlbmRvcy1mdW5kby1pbW9iaWxpYXJpby12Z2hmMTEtanVuaG8vYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en
Valora Investimentos,Investir com menos de R$ 10: FIIs mais acessíveis do mercado pagam dividendos de até 15% em 12 meses - InfoMoney,InfoMoney,29/05/2023,https://news.google.com/rss/articles/CBMiOWh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvb25kZS1pbnZlc3Rpci9maWlzLTEwLXJlYWlzL9IBPWh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvb25kZS1pbnZlc3Rpci9maWlzLTEwLXJlYWlzL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en
Valora Investimentos,B.Side compra o wealth da Mogno - Brazil Journal,Brazil Journal,26/05/2023,https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vYnJhemlsam91cm5hbC5jb20vYi1zaWRlLWNvbXByYS1vLXdlYWx0aC1kYS1tb2duby_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en
Valora Investimentos,"FII: IFIX de quinta-feira, 25, fechou em alta de 0,25% - br.ADVFN.com",br.ADVFN.com,26/05/2023,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vYnIuYWR2Zm4uY29tL2pvcm5hbC8yMDIzLzA1L2ZpaS1pZml4LWRlLXF1aW50YS1mZWlyYS0yNS1mZWNob3UtZW0tYWx0YS1kZS0wLTI10gEA?oc=5&hl=en-US&gl=US&ceid=US:en
Valora Investimentos,Crise nas empresas do agronegócio pode afetar os dividendos de Fiagros? – Investimentos – Estadão E-Investidor – As principais notícias do mercado financeiro - E-Investidor,E-Investidor,25/05/2023,https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vZWludmVzdGlkb3IuZXN0YWRhby5jb20uYnIvbWVyY2Fkby9maWFncm9zLWRpdmlkZW5kb3MtY3Jpc2UtZW1wcmVzYXMtYWdyb25lZ29jaW8v0gFcaHR0cHM6Ly9laW52ZXN0aWRvci5lc3RhZGFvLmNvbS5ici9tZXJjYWRvL2ZpYWdyb3MtZGl2aWRlbmRvcy1jcmlzZS1lbXByZXNhcy1hZ3JvbmVnb2Npby9hbXA?oc=5&hl=en-US&gl=US&ceid=US:en
Valora Investimentos,"MATV11, MORC11 e LFTT11: Confira novidades em FIIs; IFIX sobe ... - Investing.com Brasil",Investing.com Brasil,25/05/2023,https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vYnIuaW52ZXN0aW5nLmNvbS9uZXdzL21hcmtldHMvbWF0djExLW1vcmMxMS1lLWxmdHQxMS1jb25maXJhLW5vdmlkYWRlcy1lbS1maWlzLWlmaXgtc29iZS0xMTE3NTM00gEA?oc=5&hl=en-US&gl=US&ceid=US:en
Valora Investimentos,Ifix hoje: 4 FIIs pagam dividendos nesta terça-feira (23) - spacemoney.com.br,spacemoney.com.br,23/05/2023,https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vd3d3LnNwYWNlbW9uZXkuY29tLmJyL2dlcmFsL2lmaXgtaG9qZS0yMzA1MjAyMy1maWlzLWRpdmlkZW5kb3MvMTkzNDEyL9IBVGh0dHBzOi8vd3d3LnNwYWNlbW9uZXkuY29tLmJyL25vdGljaWEvYW1wLzE5MzQxMi9pZml4LWhvamUtMjMwNTIwMjMtZmlpcy1kaXZpZGVuZG9zLw?oc=5&hl=en-US&gl=US&ceid=US:en
