gestora,title,publisher,published_date,url
WHG,"Adeus, Meta, Apple, Tesla? Boom da IA tira foco de big techs e 5 ações nada óbvias viram promessas - InfoMoney",InfoMoney,02/06/2023,https://news.google.com/rss/articles/CBMiigFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL29uZGUtaW52ZXN0aXIvYWRldXMtbWV0YS1hcHBsZS10ZXNsYS1ib29tLWRhLWlhLXRpcmEtZm9jby1kZS1iaWctdGVjaHMtZS01LWFjb2VzLW5hZGEtb2J2aWFzLXZpcmFtLXByb21lc3Nhcy_SAY4BaHR0cHM6Ly93d3cuaW5mb21vbmV5LmNvbS5ici9vbmRlLWludmVzdGlyL2FkZXVzLW1ldGEtYXBwbGUtdGVzbGEtYm9vbS1kYS1pYS10aXJhLWZvY28tZGUtYmlnLXRlY2hzLWUtNS1hY29lcy1uYWRhLW9idmlhcy12aXJhbS1wcm9tZXNzYXMvYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en
WHG,Analistas projetam inflação menor e espaço maior para corte de juros - Bloomberg Línea Brasil,Bloomberg Línea Brasil,25/05/2023,https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy5ibG9vbWJlcmdsaW5lYS5jb20uYnIvMjAyMy8wNS8yNS9hbmFsaXN0YXMtcHJvamV0YW0taW5mbGFjYW8tbWVub3ItZS1tYWlzLWVzcGFjby1wYXJhLWNvcnRlLWRlLWp1cm9zLWFwb3Mtby1pcGNhLTE1L9IBjwFodHRwczovL3d3dy5ibG9vbWJlcmdsaW5lYS5jb20uYnIvMjAyMy8wNS8yNS9hbmFsaXN0YXMtcHJvamV0YW0taW5mbGFjYW8tbWVub3ItZS1tYWlzLWVzcGFjby1wYXJhLWNvcnRlLWRlLWp1cm9zLWFwb3Mtby1pcGNhLTE1Lz9vdXRwdXRUeXBlPWFtcA?oc=5&hl=en-US&gl=US&ceid=US:en
WHG,"Tony Volpon, ex-diretor do Banco Central, vai escrever sobre ... - Empiricus",Empiricus,25/05/2023,https://news.google.com/rss/articles/CBMilwFodHRwczovL3d3dy5lbXBpcmljdXMuY29tLmJyL3NlbS1jYXRlZ29yaWEvdG9ueS12b2xwb24tZXgtZGlyZXRvci1kby1iYW5jby1jZW50cmFsLXZhaS1lc2NyZXZlci1zb2JyZS1pbnZlc3RpbWVudG9zLWdsb2JhaXMtcGFyYS1jbGllbnRlcy1kYS1lbXBpcmljdXMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
WHG,"Vale (VALE3) e Petrobras (PETR4) caem, mas Bolsa sobe com bancos e varejo, além de Hapvida (HAPV3), Localiza (RENT3) e MRV (MRVE3) - InfoMoney",InfoMoney,25/05/2023,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvbWVyY2Fkb3MvaWJvdmVzcGEtaG9qZS1ib2xzYS1kZS12YWxvcmVzLWFvLXZpdm8tMjUwNTIwMjMv0gFaaHR0cHM6Ly93d3cuaW5mb21vbmV5LmNvbS5ici9tZXJjYWRvcy9pYm92ZXNwYS1ob2plLWJvbHNhLWRlLXZhbG9yZXMtYW8tdml2by0yNTA1MjAyMy9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
WHG,"FII: IFIX de segunda-feira, 22, fechou em alta de 0,09% - br.ADVFN.com",br.ADVFN.com,23/05/2023,https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vYnIuYWR2Zm4uY29tL2pvcm5hbC8yMDIzLzA1L2ZpaS1pZml4LWRlLXNlZ3VuZGEtZmVpcmEtMjItZmVjaG91LWVtLWFsdGEtZGUtMC0wOdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en
WHG,"TRXF11, TSER11, SOLR11 e RECT11: Confira as novidades em ... - Investing.com Brasil",Investing.com Brasil,22/05/2023,https://news.google.com/rss/articles/CBMiemh0dHBzOi8vYnIuaW52ZXN0aW5nLmNvbS9uZXdzL2dlbmVyYWwvdHJ4ZjExLXRzZXIxMS1zb2xyMTEtZS1yZWN0MTEtY29uZmlyYS1hcy1ub3ZpZGFkZXMtZW0tZmlpcy1pZml4LWZpY2EtZXN0YXZlbC0xMTE2NTA10gEA?oc=5&hl=en-US&gl=US&ceid=US:en
WHG,Tony Volpon: 'BC tem que repensar a relação com o mercado' - Correio Braziliense,Correio Braziliense,22/05/2023,https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3LmNvcnJlaW9icmF6aWxpZW5zZS5jb20uYnIvZWNvbm9taWEvMjAyMy8wNS81MDk2MDg2LXRvbnktdm9scG9uLWJjLXRlbS1xdWUtcmVwZW5zYXItYS1yZWxhY2FvLWNvbS1vLW1lcmNhZG8uaHRtbNIBf2h0dHBzOi8vd3d3LmNvcnJlaW9icmF6aWxpZW5zZS5jb20uYnIvZWNvbm9taWEvMjAyMy8wNS9hbXAvNTA5NjA4Ni10b255LXZvbHBvbi1iYy10ZW0tcXVlLXJlcGVuc2FyLWEtcmVsYWNhby1jb20tby1tZXJjYWRvLmh0bWw?oc=5&hl=en-US&gl=US&ceid=US:en
WHG,EUA entram em semana decisiva para negociação de teto da dívida; ‘Estão brincando com fogo’ - Money Times,Money Times,22/05/2023,https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3Lm1vbmV5dGltZXMuY29tLmJyL2V1YS1lbnRyYW0tZW0tc2VtYW5hLWRlY2lzaXZhLXBhcmEtbmVnb2NpYWNhby1kZS10ZXRvLWRhLWRpdmlkYS1lc3Rhby1icmluY2FuZG8tY29tLWZvZ28v0gF7aHR0cHM6Ly93d3cubW9uZXl0aW1lcy5jb20uYnIvZXVhLWVudHJhbS1lbS1zZW1hbmEtZGVjaXNpdmEtcGFyYS1uZWdvY2lhY2FvLWRlLXRldG8tZGEtZGl2aWRhLWVzdGFvLWJyaW5jYW5kby1jb20tZm9nby9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
WHG,Risco de calote dos EUA já é 50% maior que o da Microsoft e 145% que o da Apple - Money Times,Money Times,17/05/2023,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3Lm1vbmV5dGltZXMuY29tLmJyL3Jpc2NvLWRlLWNhbG90ZS1kb3MtZXVhLWphLWUtNTAtbWFpb3ItcXVlLW8tZGEtbWljcm9zb2Z0LWUtMTQ1LXF1ZS1vLWRhLWFwcGxlL9IBcGh0dHBzOi8vd3d3Lm1vbmV5dGltZXMuY29tLmJyL3Jpc2NvLWRlLWNhbG90ZS1kb3MtZXVhLWphLWUtNTAtbWFpb3ItcXVlLW8tZGEtbWljcm9zb2Z0LWUtMTQ1LXF1ZS1vLWRhLWFwcGxlL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en
WHG,"Ação que subiu 45% no mês puxa ganho dos 2 melhores fundos de abril, assim como construção e bancos - InfoMoney",InfoMoney,16/05/2023,https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvb25kZS1pbnZlc3Rpci9tZWxob3Jlcy1mdW5kby1hY29lcy1tdWx0aW1lcmNhZG9zLWFicmlsLTIwMjMv0gFdaHR0cHM6Ly93d3cuaW5mb21vbmV5LmNvbS5ici9vbmRlLWludmVzdGlyL21lbGhvcmVzLWZ1bmRvLWFjb2VzLW11bHRpbWVyY2Fkb3MtYWJyaWwtMjAyMy9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
