gestora,title,publisher,published_date,url
Western Asset,"Small caps? Analistas e gestores assumem mais riscos com melhora do mercado, mas não abrem mão da liquidez - InfoMoney",InfoMoney,09/06/2023,https://news.google.com/rss/articles/CBMijwFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL21lcmNhZG9zL3NtYWxsLWNhcHMtYW5hbGlzdGFzLWUtZ2VzdG9yZXMtYXNzdW1lbS1tYWlzLXJpc2Nvcy1jb20tbWVsaG9yYS1kby1tZXJjYWRvLW1hcy1zZWd1ZW0tYXRlbnRvcy1hLWxpcXVpZGV6L9IBkwFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL21lcmNhZG9zL3NtYWxsLWNhcHMtYW5hbGlzdGFzLWUtZ2VzdG9yZXMtYXNzdW1lbS1tYWlzLXJpc2Nvcy1jb20tbWVsaG9yYS1kby1tZXJjYWRvLW1hcy1zZWd1ZW0tYXRlbnRvcy1hLWxpcXVpZGV6L2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en
Western Asset,"Western Asset e Galapagos: ""Profetas do apocalipse"" erraram sobre ... - Brazil Journal",Brazil Journal,09/06/2023,https://news.google.com/rss/articles/CBMicWh0dHBzOi8vYnJhemlsam91cm5hbC5jb20vcGxheS93ZXN0ZXJuLWFzc2V0LWUtZ2FsYXBhZ29zLXByb2ZldGFzLWRvLWFwb2NhbGlwc2UtZXJyYXJhbS1zb2JyZS1tZXJjYWRvLWRlLWNyZWRpdG8v0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
Western Asset,"Trígono Capital, a “queridinha” do varejo, avança nos investidores ... - NeoFeed",NeoFeed,30/05/2023,https://news.google.com/rss/articles/CBMibmh0dHBzOi8vbmVvZmVlZC5jb20uYnIvbmVnb2Npb3MvdHJpZ29uby1jYXBpdGFsLWEtcXVlcmlkaW5oYS1kby12YXJlam8tYXZhbmNhLW5vcy1pbnZlc3RpZG9yZXMtaW5zdGl0dWNpb25haXMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
Western Asset,"Ibovespa fecha em queda com nova correção, mas segue para mês ... - Investing.com Brasil",Investing.com Brasil,30/05/2023,https://news.google.com/rss/articles/CBMifWh0dHBzOi8vYnIuaW52ZXN0aW5nLmNvbS9uZXdzL3N0b2NrLW1hcmtldC1uZXdzL2lib3Zlc3BhLWZlY2hhLWVtLXF1ZWRhLWNvbS1ub3ZhLWNvcnJlY2FvLW1hcy1zZWd1ZS1wYXJhLW1lcy1wb3NpdGl2by0xMTE4NDgy0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
Western Asset,Ibovespa fecha em alta com bom desempenho de commodities nesta sexta-feira – Últimas notícias – Estadão E-Investidor – As principais notícias do mercado financeiro - E-Investidor,E-Investidor,26/05/2023,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vZWludmVzdGlkb3IuZXN0YWRhby5jb20uYnIvdWx0aW1hcy9pYm92ZXNwYS1mZWNoYS1hbHRhLWJvbS1kZXNlbXBlbmhvLWNvbW1vZGl0aWVzL9IBXWh0dHBzOi8vZWludmVzdGlkb3IuZXN0YWRhby5jb20uYnIvdWx0aW1hcy9pYm92ZXNwYS1mZWNoYS1hbHRhLWJvbS1kZXNlbXBlbmhvLWNvbW1vZGl0aWVzL2FtcA?oc=5&hl=en-US&gl=US&ceid=US:en
Western Asset,Quais são os fundos de investimento mais procurados? - Suno Notícias,Suno Notícias,23/05/2023,https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LnN1bm8uY29tLmJyL25vdGljaWFzL3dlYi1zdG9yaWVzL2Z1bmRvcy1kZS1pbnZlc3RpbWVudG8tbWFpcy1idXNjYWRvcy_SAVJodHRwczovL3d3dy5zdW5vLmNvbS5ici9ub3RpY2lhcy93ZWItc3Rvcmllcy9mdW5kb3MtZGUtaW52ZXN0aW1lbnRvLW1haXMtYnVzY2Fkb3Mv?oc=5&hl=en-US&gl=US&ceid=US:en
Western Asset,Dólar fecha em alta com exterior após dados dos EUA – Últimas notícias – Estadão E-Investidor – As principais notícias do mercado financeiro - E-Investidor,E-Investidor,18/05/2023,https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vZWludmVzdGlkb3IuZXN0YWRhby5jb20uYnIvdWx0aW1hcy9kb2xhci1mZWNoYS1hbHRhLWRhZG9zLWV1YS_SAUlodHRwczovL2VpbnZlc3RpZG9yLmVzdGFkYW8uY29tLmJyL3VsdGltYXMvZG9sYXItZmVjaGEtYWx0YS1kYWRvcy1ldWEvYW1w?oc=5&hl=en-US&gl=US&ceid=US:en
Western Asset,"Ibovespa chega aos 110,1 mil pontos, maior nível desde 2 de fevereiro - Terra",Terra,18/05/2023,https://news.google.com/rss/articles/CBMipAFodHRwczovL3d3dy50ZXJyYS5jb20uYnIvZWNvbm9taWEvZGluaGVpcm8tZW0tYWNhby9pYm92ZXNwYS1jaGVnYS1hb3MtMTEwMS1taWwtcG9udG9zLW1haW9yLW5pdmVsLWRlc2RlLTItZGUtZmV2ZXJlaXJvLDEyZjBjOWY0NTgyMjhkOGFkZGQ3YjZmYTIzOTgxZTZiZWltamxtbG0uaHRtbNIBqAFodHRwczovL3d3dy50ZXJyYS5jb20uYnIvYW1wL2Vjb25vbWlhL2RpbmhlaXJvLWVtLWFjYW8vaWJvdmVzcGEtY2hlZ2EtYW9zLTExMDEtbWlsLXBvbnRvcy1tYWlvci1uaXZlbC1kZXNkZS0yLWRlLWZldmVyZWlybywxMmYwYzlmNDU4MjI4ZDhhZGRkN2I2ZmEyMzk4MWU2YmVpbWpsbWxtLmh0bWw?oc=5&hl=en-US&gl=US&ceid=US:en
Western Asset,"Ibovespa fecha com ligeira alta e ganha 3,1% na semana; dólar recua para R$ 4,92 - InfoMoney",InfoMoney,12/05/2023,https://news.google.com/rss/articles/CBMidGh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvbWVyY2Fkb3MvaWJvdmVzcGEtZmVjaGEtY29tLWxpZ2VpcmEtYWx0YS1tYXMtZ2FuaGEtMzEtbmEtc2VtYW5hLWRvbGFyLXJlY3VhLXBhcmEtci00OTIv0gF4aHR0cHM6Ly93d3cuaW5mb21vbmV5LmNvbS5ici9tZXJjYWRvcy9pYm92ZXNwYS1mZWNoYS1jb20tbGlnZWlyYS1hbHRhLW1hcy1nYW5oYS0zMS1uYS1zZW1hbmEtZG9sYXItcmVjdWEtcGFyYS1yLTQ5Mi9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
Western Asset,IPCA de abril sugere menos cortes da Selic e leva a alta dos juros curtos – Últimas notícias – Estadão E-Investidor – As principais notícias do mercado financeiro - E-Investidor,E-Investidor,12/05/2023,https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vZWludmVzdGlkb3IuZXN0YWRhby5jb20uYnIvdWx0aW1hcy9qdXJvcy1mZWNoYW1lbnRvLTEyLTA1LTIwMjMv0gFKaHR0cHM6Ly9laW52ZXN0aWRvci5lc3RhZGFvLmNvbS5ici91bHRpbWFzL2p1cm9zLWZlY2hhbWVudG8tMTItMDUtMjAyMy9hbXA?oc=5&hl=en-US&gl=US&ceid=US:en
Western Asset,"Como a Verde Asset, de Luis Stuhlberger, perdeu R$ 24 bilhões – Investimentos – Estadão E-Investidor – As principais notícias do mercado financeiro - E-Investidor",E-Investidor,09/05/2023,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vZWludmVzdGlkb3IuZXN0YWRhby5jb20uYnIvaW52ZXN0aW1lbnRvcy92ZXJkZS1hc3NldC1sdWlzLXN0dWhsYmVyZ2VyLXBlcmRlLTI0LWJpbGhvZXMv0gFiaHR0cHM6Ly9laW52ZXN0aWRvci5lc3RhZGFvLmNvbS5ici9pbnZlc3RpbWVudG9zL3ZlcmRlLWFzc2V0LWx1aXMtc3R1aGxiZXJnZXItcGVyZGUtMjQtYmlsaG9lcy9hbXA?oc=5&hl=en-US&gl=US&ceid=US:en
Western Asset,"Privatização é ""essencial"" para modernizar a Cemig, diz CEO - Brazil Journal",Brazil Journal,09/05/2023,https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vYnJhemlsam91cm5hbC5jb20vcGxheS9wcml2YXRpemFjYW8tZS1lc3NlbmNpYWwtcGFyYS1tb2Rlcm5pemFyLWEtY2VtaWctZGl6LWNlby_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en
