gestora,title,publisher,published_date,url
XP Asset Management,"Nova surpresa positiva com IPCA abre espaço para BC começar a cortar os juros em agosto, dizem analistas - InfoMoney",InfoMoney,07/06/2023,https://news.google.com/rss/articles/CBMijgFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL2Vjb25vbWlhL25vdmEtc3VycHJlc2EtcG9zaXRpdmEtY29tLWlwY2EtYWJyZS1lc3BhY28tcGFyYS1iYy1jb21lY2FyLWEtY29ydGFyLW9zLWp1cm9zLWVtLWFnb3N0by1kaXplbS1hbmFsaXN0YXMv0gGSAWh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvZWNvbm9taWEvbm92YS1zdXJwcmVzYS1wb3NpdGl2YS1jb20taXBjYS1hYnJlLWVzcGFjby1wYXJhLWJjLWNvbWVjYXItYS1jb3J0YXItb3MtanVyb3MtZW0tYWdvc3RvLWRpemVtLWFuYWxpc3Rhcy9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
XP Asset Management,Veja 3 fatores que indicam a retomada do Crédito Privado - Expert XP,Expert XP,06/06/2023,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vY29udGV1ZG9zLnhwaS5jb20uYnIvcmVuZGEtZml4YS9yZWxhdG9yaW9zL3ZlamEtMy1mYXRvcmVzLXF1ZS1pbmRpY2FtLWEtcmV0b21hZGEtZG8tY3JlZGl0by1wcml2YWRvL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en
XP Asset Management,Fundos da JHSF (JHSF3) adquirem 33% do Cidade Jardim; ações ... - Investing.com Brasil,Investing.com Brasil,06/06/2023,https://news.google.com/rss/articles/CBMidWh0dHBzOi8vYnIuaW52ZXN0aW5nLmNvbS9uZXdzL3N0b2NrLW1hcmtldC1uZXdzL2Z1bmRvcy1kYS1qaHNmLWpoc2YzLWFkcXVpcmVtLTMzLWRvLWNpZGFkZS1qYXJkaW0tYWNvZXMtc29iZW0tMTEyMDEyOdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en
XP Asset Management,Itaú Unibanco e Pezco vencem 17ª edição do Prêmio Broadcast Projeções - Terra,Terra,01/06/2023,https://news.google.com/rss/articles/CBMipQFodHRwczovL3d3dy50ZXJyYS5jb20uYnIvZWNvbm9taWEvZGluaGVpcm8tZW0tYWNhby9pdGF1LXVuaWJhbmNvLWUtcGV6Y28tdmVuY2VtLTE3LWVkaWNhby1kby1wcmVtaW8tYnJvYWRjYXN0LXByb2plY29lcyxiMzdlNzQ4OWQzYzMzYzg1OTgyYzA4Mzc1MGUyYmQwMjMxM3pla2RmLmh0bWzSAakBaHR0cHM6Ly93d3cudGVycmEuY29tLmJyL2FtcC9lY29ub21pYS9kaW5oZWlyby1lbS1hY2FvL2l0YXUtdW5pYmFuY28tZS1wZXpjby12ZW5jZW0tMTctZWRpY2FvLWRvLXByZW1pby1icm9hZGNhc3QtcHJvamVjb2VzLGIzN2U3NDg5ZDNjMzNjODU5ODJjMDgzNzUwZTJiZDAyMzEzemVrZGYuaHRtbA?oc=5&hl=en-US&gl=US&ceid=US:en
XP Asset Management,Especialistas discutem crescimento de segmento de 'tijolo' após ... - clubefiinews.com.br,clubefiinews.com.br,31/05/2023,https://news.google.com/rss/articles/CBMiamh0dHBzOi8vY2x1YmVmaWluZXdzLmNvbS5ici9tZXJjYWRvL2VzcGVjaWFsaXN0YXMtZGlzY3V0ZW0tY3Jlc2NpbWVudG8tZGUtc2VnbWVudG8tZGUtdGlqb2xvLWFwb3MtcGFuZGVtaWHSAQA?oc=5&hl=en-US&gl=US&ceid=US:en
XP Asset Management,Notícias Diárias do Setor Financeiro | 29/05 - 02/06 - XP Investimentos - Expert XP,Expert XP,29/05/2023,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vY29udGV1ZG9zLnhwaS5jb20uYnIvYWNvZXMvcmVsYXRvcmlvcy9ub3RpY2lhcy1kaWFyaWFzLWRvLXNldG9yLWZpbmFuY2Vpcm8tMjktMDUtMDItMDYv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en
XP Asset Management,Real Digital: instituições escolhidas para teste vão de bancos tradicionais a corretoras de cripto - Folha de Pernambuco,Folha de Pernambuco,26/05/2023,https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3LmZvbGhhcGUuY29tLmJyL2Vjb25vbWlhL3JlYWwtZGlnaXRhbC1pbnN0aXR1aWNvZXMtZXNjb2xoaWRhcy1wYXJhLXRlc3RlLXZhby1kZS1iYW5jb3MvMjcyMjM2L9IBbGh0dHBzOi8vd3d3LmZvbGhhcGUuY29tLmJyL25vdGljaWEvYW1wLzI3MjIzNi9yZWFsLWRpZ2l0YWwtaW5zdGl0dWljb2VzLWVzY29saGlkYXMtcGFyYS10ZXN0ZS12YW8tZGUtYmFuY29zLw?oc=5&hl=en-US&gl=US&ceid=US:en
XP Asset Management,Mercado de crédito mostra recuperação em maio - Expert XP,Expert XP,25/05/2023,https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vY29udGV1ZG9zLnhwaS5jb20uYnIvcmVuZGEtZml4YS9yZWxhdG9yaW9zL21lcmNhZG8tZGUtY3JlZGl0by1tb3N0cmEtcmVjdXBlcmFjYW8tZW0tbWFpby_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en
XP Asset Management,"RECR11, HABT11 e XPCA11 são os destaques do Bom Dia FIIs (24 ... - fiis.com.br",fiis.com.br,24/05/2023,https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vZmlpcy5jb20uYnIvbm90aWNpYXMvYm9tLWRpYS1maWlzLTI0LTA1LTIzL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en
XP Asset Management,"Fiagro paga dividendos de 1,31% ao mês e aproveita venda do CRA da Minerva (BEEF3) - Money Times",Money Times,24/05/2023,https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3Lm1vbmV5dGltZXMuY29tLmJyL2ZpYWdyby1wYWdhLWRpdmlkZW5kb3MtZGUtMTMxLWFvLW1lcy1lLWFwcm92ZWl0YS12ZW5kYS1kby1jcmEtZGEtbWluZXJ2YS1iZWVmMy_SAXFodHRwczovL3d3dy5tb25leXRpbWVzLmNvbS5ici9maWFncm8tcGFnYS1kaXZpZGVuZG9zLWRlLTEzMS1hby1tZXMtZS1hcHJvdmVpdGEtdmVuZGEtZG8tY3JhLWRhLW1pbmVydmEtYmVlZjMvYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en
